seed,class_name,n,mean_divergence,sd_divergence
18,SINE,429978,177.77068361637106,85.45542044683775
19,DNA,117282,227.7368053068672,62.806900269472735
19,LINE,314736,231.81653195058715,84.9265069185618
19,LTR,139298,205.84858361211215,71.69261206328402
19,RC,513,274.3625730994152,41.070674630771805
19,Retroposon,1769,170.53080836630866,97.86915322882665
19,SINE,429065,177.77496416626852,85.30248385138046
20,DNA,117157,227.9356163097382,62.929253933050745
20,LINE,313019,231.7938591587092,85.0796062540451
20,LTR,138842,205.91971449561373,71.50929242449224
20,RC,498,271.22289156626505,42.66960627038134
20,Retroposon,1748,172.2517162471396,96.56920676975224
20,SINE,431122,177.51403778976717,85.25655686487738
21,DNA,118286,228.2392506298294,62.76282366134144
21,LINE,315761,231.7588714249068,85.10327540849659
21,LTR,139210,205.2058903814381,71.6649804704548
21,RC,452,274.70575221238937,41.911618582700754
21,Retroposon,1659,161.1350210970464,96.62435030828435
21,SINE,430918,177.804296873187,85.36536581113475
22,DNA,118546,228.41416833971624,62.88809451709786
22,LINE,314153,231.53239026843607,85.05712986840608
22,LTR,139016,205.57297001783968,71.41083224365912
22,RC,488,272.2950819672131,39.215240121414105
22,Retroposon,1604,167.12468827930175,93.363256529486
22,SINE,431201,177.82753286750264,85.31136013307598
23,DNA,118262,228.10080160998461,62.8633352240619
23,LINE,312562,231.96924770125608,84.96876232768787
23,LTR,139131,205.34321610568458,71.7405276935153
23,RC,480,271.3020833333333,43.92126473201474
23,Retroposon,1659,166.65883062085592,96.38881384620501
23,SINE,431624,177.87949696958464,85.46259401951993
24,DNA,117753,227.92280451453468,62.791090969465095
24,LINE,314572,231.7912210877001,84.94206032727504
24,LTR,139393,205.6661310108829,71.80727999031741
24,RC,449,268.4610244988864,41.60658804932584
24,Retroposon,1607,169.77100186683262,96.34219932450492
24,SINE,429372,177.84655962661748,85.41173645368588
25,DNA,117452,228.63805639750706,62.678160090555046
25,LINE,314921,231.61719288329454,84.98159899746247
25,LTR,139556,205.30938118031472,71.77935050899157
25,RC,478,271.2803347280335,44.40189305650073
25,Retroposon,1611,165.43016759776538,96.93204084527476
25,SINE,430375,177.95656578565206,85.44768739442532
26,DNA,118147,228.43250357605356,62.98077064695065
26,LINE,313775,231.81374870528245,84.88072043039385
26,LTR,139625,205.24261414503133,71.38094981177444
26,RC,466,272.44635193133047,39.29909408249089
26,Retroposon,1616,165.71782178217822,95.79574666144465
26,SINE,429303,177.97792701192398,85.44759017150682
27,DNA,116653,228.11840244142886,62.71017181260005
27,LINE,315135,231.20152632998557,85.20972903030078
27,LTR,139387,205.39406831340082,71.58373610109454
27,RC,497,273.1327967806841,41.96863913507382
27,Retroposon,1695,164.2395280235988,95.94286264132751
27,SINE,429739,177.65365954684123,85.36293480914647
28,DNA,117952,228.16439738198588,62.7410207015235
28,LINE,313132,231.54706641288658,85.06260877581374
28,LTR,139106,205.81584547036073,71.67094535515656
28,RC,471,271.76008492569,42.41889700266526
28,Retroposon,1735,167.9371757925072,97.81375041730178
28,SINE,431367,177.76870275194904,85.32363859043923
29,DNA,117725,227.59230409853473,62.843249883116705
29,LINE,313808,231.75062139907203,84.96320009855704
29,LTR,139667,205.79980238710647,71.58956189094961
29,RC,465,272.0258064516129,40.32885490970616
29,Retroposon,1664,169.70372596153845,98.53185781942801
29,SINE,430150,177.80866441938858,85.29135054345058
30,DNA,117998,228.12675638570144,62.98023904003797
30,LINE,313810,231.40398967528122,85.01107720293567
30,LTR,139174,205.7920660468191,71.78377230222087
30,RC,472,271.77966101694915,42.43227616923278
30,Retroposon,1700,167.85117647058823,97.34549552298718
30,SINE,431590,177.92798952709748,85.3120807539117
31,DNA,118098,228.11493844095583,62.98631884958214
31,LINE,313236,231.769643336015,84.91159802971188
31,LTR,137983,205.7420189443627,71.51318485678134
31,RC,490,273.2795918367347,39.92126679716646
31,Retroposon,1612,167.62655086848636,96.29481066267313
31,SINE,429613,177.87508990649724,85.42355840689967
32,DNA,117513,228.1064137584778,62.85623559604225
32,LINE,313727,231.64981337277314,85.03935608899151
32,LTR,139089,205.63632638095032,71.49061217829926
32,RC,496,277.6431451612903,36.25847611397865
32,Retroposon,1728,164.36863425925927,94.9081554689777
32,SINE,429354,177.74489582023224,85.41441401600332
33,DNA,117272,227.84408042840576,62.557247675525986
33,LINE,313886,231.97064857942055,84.83944777141379
33,LTR,139684,205.57914292259673,71.53314212149056
33,RC,499,269.8436873747495,46.27528951903599
33,Retroposon,1697,160.9351797289334,95.45636706897649
33,SINE,432717,177.7028843331785,85.4615765191146
34,DNA,118255,228.13453976576042,62.83361115327768
34,LINE,312987,232.21367021633486,84.86885805206907
34,LTR,138613,205.6979648373529,71.54655530178385
34,RC,471,275.30573248407643,41.756344459196875
34,Retroposon,1610,166.4472049689441,96.1771076325363
34,SINE,431406,177.88221072493198,85.30442214686349
35,DNA,117748,228.35954750823794,62.90083262581385
35,LINE,313212,231.58516915060724,85.03276008659668
35,LTR,138386,205.65951758125823,71.53942027379604
35,RC,525,274.1009523809524,41.0131140356654
35,Retroposon,1637,168.48564447159438,98.36349040545218
35,SINE,431474,177.71533163064288,85.37659762072505
36,DNA,117244,228.27902493944254,63.18473472509104
36,LINE,314693,231.66189905717636,85.12550567573024
36,LTR,138646,206.0497309695195,71.49312138832863
36,RC,454,273.49118942731275,40.84383778943164
36,Retroposon,1656,169.8580917874396,96.4630590965877
36,SINE,428411,177.66671490694682,85.28171951065397
37,DNA,117585,227.6002551345835,62.738748527197345
