seed,DNA,LINE,LTR,RC,Retroposon,SINE,total_rows
249,32393,126855,40246,147,483,112492,312616
250,32700,126596,40225,141,525,111948,312135
251,32350,126881,40062,133,517,112587,312530
252,32305,126994,39836,133,478,113137,312883
253,32642,126820,40330,134,517,111563,312006
254,32789,127047,40541,128,536,112847,313888
255,32323,127730,40037,144,484,112463,313181
256,32055,126950,40074,128,540,112583,312330
257,32254,126725,40219,117,498,112471,312284
258,32209,126244,40567,116,523,112880,312539
259,33154,126255,40391,126,518,112490,312934
260,32532,126500,40418,131,526,112458,312565
261,32359,126890,40022,146,521,112417,312355
262,32445,126978,39676,125,528,112611,312363
263,32803,127051,40222,145,503,111792,312516
264,32616,127396,40031,119,469,112443,313074
265,32491,127540,40180,137,469,112798,313615
266,32300,127102,39545,156,494,112710,312307
267,33448,126305,40130,128,488,111757,312256
268,32575,127436,40328,147,536,112236,313258
269,32495,126893,40089,148,479,112971,313075
270,32808,126694,40089,119,470,112003,312183
271,32728,126935,40400,127,567,112412,313169
272,32667,126870,40099,145,523,112226,312530
273,32679,126272,40148,139,528,112134,311900
274,32467,127539,40453,139,478,112851,313927
275,32660,126640,40396,151,514,112828,313189
276,32323,126589,40045,154,518,112625,312254
277,32146,127117,39773,120,553,112857,312566
278,32980,126327,40167,149,513,112364,312500
279,32030,127350,40035,133,485,113474,313507
280,32624,127188,40573,130,496,112733,313744
281,32904,127327,40370,134,552,112682,313969
282,32729,126679,40012,122,543,112303,312388
283,32607,127026,40117,141,532,111838,312261
284,32666,127224,40464,122,535,112187,313198
285,32854,126634,40123,114,476,112568,312769
286,32568,127337,40194,111,441,111876,312527
287,32640,127470,39899,144,520,112857,313530
288,32112,126587,40151,117,514,111920,311401
289,31841,127242,40055,123,514,112269,312044
290,32637,126932,39671,138,498,112809,312685
291,32735,126987,40270,137,502,112475,313106
292,32594,127193,39836,158,504,113032,313317
293,32323,126762,40060,127,553,112135,311960
294,32297,126754,40115,122,511,112018,311817
295,32419,126766,39562,124,452,112062,311385
296,32843,127335,40036,150,533,112195,313092
297,32598,126699,39118,115,528,112900,311958
298,32673,126891,39728,145,499,113004,312940
299,32485,126241,40187,160,538,112601,312212
