seed,DNA,LINE,LTR,RC,Retroposon,SINE,total_rows
103,118321,314735,138784,463,1663,430439,1004405
104,117789,315701,138677,504,1752,429519,1003942
105,117551,314584,138265,490,1703,430296,1002889
106,118219,313978,138350,488,1708,429910,1002653
107,117688,313377,139197,466,1656,429856,1002240
108,118075,314413,140151,460,1735,430828,1005662
109,117792,313577,139090,470,1662,429072,1001663
110,116961,315002,139577,522,1657,430620,1004339
111,117230,314018,139059,509,1629,428645,1001090
112,118043,315899,138213,502,1748,430186,1004591
113,118504,313154,139695,453,1742,431320,1004868
114,117968,315382,138606,451,1671,430974,1005052
115,117758,314601,138926,494,1689,428809,1002277
116,118687,314871,140039,499,1718,429525,1005339
117,118629,314899,139852,437,1610,431307,1006734
118,117942,315101,138790,497,1681,429903,1003914
119,117958,313726,139248,468,1624,429997,1003021
120,118071,313748,139062,499,1619,431175,1004174
121,119305,314331,138181,463,1622,430815,1004717
122,118343,314245,139367,519,1654,429286,1003414
123,117738,314937,138324,461,1672,429628,1002760
124,117072,314958,139116,500,1704,430391,1003741
125,117423,312304,139037,459,1720,430313,1001256
126,117618,313358,139883,462,1659,430258,1003238
127,116845,315759,139115,526,1695,432023,1005963
128,117631,313568,139224,512,1677,430656,1003268
129,118744,314273,138668,454,1721,429986,1003846
130,118585,314630,140146,448,1652,430513,1005974
131,118192,314675,140296,491,1734,430659,1006047
132,117472,314574,138968,432,1675,429124,1002245
133,118132,313875,140342,470,1672,429520,1004011
134,118253,315640,138290,548,1632,428866,1003229
135,117971,315200,139424,472,1689,429227,1003983
136,117951,315369,138485,528,1664,431719,1005716
137,118069,315196,138539,480,1756,430553,1004593
138,118059,314246,138551,452,1714,429754,1002776
139,118567,313610,138421,472,1728,428351,1001149
140,117234,313083,137851,460,1650,430693,1000971
141,117852,314107,138815,503,1670,432360,1005307
142,117893,315260,139475,477,1640,431920,1006665
143,118231,312947,138011,493,1753,429974,1001409
144,117863,312478,138823,521,1652,430307,1001644
145,118030,314956,139076,477,1689,429372,1003600
146,117888,313327,138654,480,1705,430197,1002251
147,118868,314453,139598,490,1597,431101,1006107
148,117596,315497,138336,468,1614,428362,1001873
149,117912,314607,138870,450,1746,429553,1003138
150,117328,315712,139670,445,1744,431337,1006236
151,117589,314646,138577,478,1739,430246,1003275
152,118302,313271,138536,458,1643,430846,1003056
153,118124,314044,138800,467,1631,429242,1002308
154,117557,313860,139446,466,1635,431766,1004730
155,118188,315301,138628,435,1779,429214,1003545
156,118283,314776,139296,493,1720,431164,1005732
157,117774,313035,139497,486,1654,430641,1003087
158,117920,312992,139302,452,1647,430269,1002582
159,117870,312964,138816,542,1717,430698,1002607
160,117606,314398,138809,483,1805,431022,1004123
161,118997,313757,138192,443,1655,430694,1003738
162,117212,315174,139655,491,1633,430237,1004402
163,116917,313487,139688,491,1674,430247,1002504
164,117761,313543,138860,512,1697,431075,1003448
165,117337,313071,139149,526,1643,431198,1002924
166,118150,313552,138729,483,1739,430920,1003573
167,117595,313500,139837,553,1631,430934,1004050
168,118134,314839,139378,410,1742,430311,1004814
169,117330,313220,138678,427,1687,431253,1002595
170,118353,313584,139354,470,1606,430145,1003512
171,117278,313977,139237,554,1658,430449,1003153
172,117552,314868,138627,416,1610,429605,1002678
173,117584,314241,139262,453,1626,428277,1001443
174,117642,313627,138576,477,1708,429910,1001940
175,118560,314007,138439,441,1716,430331,1003494
176,117083,314518,138549,558,1678,429779,1002165
177,118214,313607,138916,438,1602,430037,1002814
178,117914,312116,138607,529,1588,431133,1001887
179,117674,315188,139476,522,1666,430656,1005182
180,117909,314881,139230,475,1579,430894,1004968
181,118241,314546,140004,554,1725,430074,1005144
182,117578,314801,139334,489,1669,430532,1004403
183,118383,314513,138886,457,1782,427502,1001523
184,118432,314319,138788,462,1640,431180,1004821
185,117644,314914,139146,512,1654,429001,1002871
186,118218,314018,138775,477,1641,430189,1003318
187,117093,313302,139130,517,1708,430087,1001837
188,118564,313147,138602,499,1679,431605,1004096
189,118082,315359,139158,469,1686,430447,1005201
190,118004,315178,138852,457,1793,428315,1002599
191,118184,314853,138270,482,1717,428875,1002381
192,116406,315983,139839,486,1724,430030,1004468
193,118758,314232,140172,464,1725,430431,1005782
194,117826,315389,139569,464,1655,431308,1006211
195,118298,314743,139041,524,1697,429529,1003832
196,118113,312437,138870,411,1725,430708,1002264
197,118305,313177,139079,513,1731,431452,1004257
198,117661,313880,140009,508,1774,430411,1004243
199,117857,313989,138953,485,1732,430546,1003562
200,118179,315070,138721,494,1650,431183,1005297
201,117669,314197,139434,492,1718,430222,1003732
202,117841,315034,138602,435,1716,431523,1005151
203,118276,314328,138532,459,1613,429597,1002805
204,118777,314527,138478,528,1594,429153,1003057
205,117631,313955,139726,441,1610,429869,1003232
206,118524,313400,139350,437,1752,430618,1004081
207,116733,314599,139181,522,1646,430494,1003175
208,118008,313043,138928,467,1765,429377,1001588
209,117610,313286,139436,446,1698,427794,1000270
210,118906,313741,139501,461,1665,428745,1003019
211,118925,314655,139521,506,1649,430436,1005692
212,118380,314813,138755,491,1794,430036,1004269
213,117506,314069,138625,526,1686,430898,1003310
214,116755,313139,138141,518,1626,431152,1001331
215,118055,314412,138947,493,1707,430201,1003815
216,118211,314873,139629,497,1726,429719,1004655
217,118342,312686,139012,514,1670,431104,1003328
218,117705,314317,138529,448,1835,429875,1002709
219,118752,313734,139363,488,1689,430173,1004199
220,117644,314783,138774,515,1659,429434,1002809
221,117905,313918,139468,509,1657,431621,1005078
222,118324,314148,138897,523,1717,430392,1004001
223,117528,313729,138619,523,1642,430636,1002677
224,117911,314796,138203,477,1634,428517,1001538
225,117866,314123,138854,561,1674,429905,1002983
226,117305,313218,139530,494,1632,431394,1003573
227,117887,313980,138211,443,1686,429691,1001898
228,117476,315068,139014,486,1635,429645,1003324
229,117559,314657,138907,494,1662,430743,1004022
230,117740,313889,138938,485,1586,428922,1001560
231,117832,315410,139367,464,1807,432097,1006977
232,116553,314637,139337,510,1748,430798,1003583
233,118115,315041,139731,467,1590,430519,1005463
234,119324,314192,139509,503,1782,430089,1005399
235,118261,314132,138982,474,1561,428665,1002075
236,117224,313897,139313,528,1607,430241,1002810
237,117788,311952,138447,491,1782,429003,999463
238,118002,315543,139233,503,1599,430267,1005147
239,117104,312945,139846,498,1629,430645,1002667
240,118007,313832,139892,467,1679,430836,1004713
241,117352,313012,138654,459,1615,429160,1000252
242,118239,312863,138719,494,1594,430452,1002361
243,117030,314205,139077,463,1733,430862,1003370
244,117729,315876,139396,430,1716,429541,1004688
245,118795,312681,138991,526,1721,429355,1002069
246,118142,314317,138702,447,1616,429648,1002872
247,117610,314250,138583,479,1661,431525,1004108
248,118662,313980,138736,509,1714,431237,1004838
249,118026,314377,138552,504,1710,431015,1004184
250,118207,314157,139832,500,1719,430083,1004498
251,117433,313543,138652,478,1720,430132,1001958
252,117428,314377,138768,474,1625,430065,1002737
253,117736,315075,139494,473,1617,428365,1002760
254,118288,314431,140538,469,1721,430352,1005799
255,117332,314779,138812,459,1617,430570,1003569
256,117344,314126,140123,531,1689,430168,1003981
257,117423,313407,139297,426,1595,429210,1001358
258,117522,313283,139387,456,1654,429379,1001681
259,118481,313974,139800,507,1741,430456,1004959
260,117812,314783,139114,466,1596,429042,1002813
261,117610,314580,138976,506,1725,430157,1003554
262,118100,314191,139223,497,1651,430529,1004191
263,118666,314081,138874,521,1686,430469,1004297
264,117731,314174,139181,516,1606,429502,1002710
265,118373,314536,140078,524,1678,431680,1006869
266,117872,315484,138422,530,1645,430765,1004718
267,118491,314209,139187,488,1588,428847,1002810
268,117805,315052,139495,475,1699,430685,1005211
269,117547,314460,138733,493,1623,432050,1004906
270,118766,314397,139357,463,1649,429554,1004186
271,117926,313301,139693,506,1697,430514,1003637
272,118370,313879,139508,499,1691,430221,1004168
273,117963,313721,138889,498,1734,429575,1002380
274,117041,314366,139561,469,1639,430715,1003791
275,118246,315175,139609,472,1753,430833,1006088
276,117648,314177,139113,470,1650,430853,1003911
277,117212,314349,139254,449,1725,429930,1002919
278,118575,313743,139045,452,1675,430646,1004136
279,117177,315235,139600,517,1700,431182,1005411
280,117758,313350,139730,460,1703,430630,1003631
281,118317,315164,140220,440,1738,430307,1006186
282,117750,314644,139568,473,1715,431276,1005426
283,118063,314446,138590,518,1737,429698,1003052
284,117770,314236,139443,479,1692,432077,1005697
285,119199,314409,139180,454,1633,430505,1005380
286,118457,313886,138657,468,1494,428610,1001572
287,118921,314472,139512,459,1602,428835,1003801
288,117208,314130,139071,470,1660,430150,1002689
289,117101,314595,138733,492,1718,429751,1002390
290,117894,313366,138349,482,1745,432227,1004063
291,118302,313918,138998,527,1698,431056,1004499
292,117595,314229,139144,531,1692,430607,1003798
293,117712,314008,139230,451,1700,430134,1003235
294,117424,314134,138587,443,1609,429278,1001475
295,117355,314091,138021,435,1582,431382,1002866
296,117838,314734,138266,482,1682,427587,1000589
297,118166,314010,137387,472,1612,430362,1002009
298,118231,313813,138433,480,1610,431054,1003621
299,117145,313330,139700,541,1689,429676,1002081
300,117293,315806,139548,521,1689,430623,1005480
301,116868,313767,139279,487,1797,431791,1003989
302,118098,315064,139412,462,1609,431190,1005835
303,118339,315053,139348,473,1658,430525,1005396
304,117926,313148,139704,433,1623,430960,1003794
305,118490,314969,139070,524,1802,430259,1005114
306,117953,312846,139298,448,1693,430965,1003203
307,117704,313868,138998,503,1649,429265,1001987
308,117667,313504,138737,484,1645,430683,1002720
309,117495,315253,139332,505,1724,430427,1004736
310,117531,314025,138917,451,1720,428663,1001307
311,118445,315404,139277,438,1737,431266,1006567
312,116919,313272,140299,446,1686,430107,1002729
313,117885,313364,139506,445,1727,430340,1003267
314,118247,314753,139778,448,1668,430079,1004973
315,117701,314722,139412,522,1656,428828,1002841
316,118509,315047,139591,452,1792,431741,1007132
317,117208,313536,138509,483,1633,431184,1002553
318,118612,314540,139371,488,1598,429514,1004123
319,117463,315608,139704,544,1758,431218,1006295
320,117926,313659,139192,506,1621,432188,1005092
321,117671,313708,139473,485,1831,431509,1004677
322,117647,314665,138900,473,1715,430548,1003948
323,118777,314065,138626,488,1564,428579,1002099
324,117563,313255,138667,529,1647,428807,1000468
325,117501,313055,139556,509,1679,430768,1003068
326,117909,315192,138811,470,1619,430870,1004871
327,117751,313311,139928,488,1667,430465,1003610
328,119405,313939,139288,470,1646,429227,1003975
329,118895,314565,138665,498,1587,429496,1003706
330,117728,313628,138650,483,1609,428926,1001024
331,118739,315453,139041,459,1757,432534,1007983
332,117770,314243,139268,461,1745,430599,1004086
333,117479,313365,138991,467,1771,431341,1003414
334,117102,313674,138925,473,1758,429246,1001178
335,119001,313908,138856,474,1623,429576,1003438
336,117906,314003,138491,480,1689,429107,1001676
337,118039,314708,139018,526,1614,428958,1002863
338,118572,313515,139323,505,1729,430124,1003768
339,117670,314278,138086,477,1615,430830,1002956
340,117906,313283,138763,456,1669,430269,1002346
341,117628,313630,138850,439,1753,428806,1001106
342,117716,313377,139222,537,1783,429844,1002479
343,118658,315139,138301,496,1730,431267,1005591
344,118428,313890,138977,443,1723,430649,1004110
345,117395,313833,139273,452,1693,429988,1002634
346,118207,312934,139081,486,1785,429237,1001730
347,118388,312199,138803,452,1599,429680,1001121
348,117936,314096,138510,467,1676,430780,1003465
349,117748,313476,139369,442,1652,430063,1002750
350,117989,313975,138421,520,1801,431186,1003892
351,116659,314855,139000,494,1761,429788,1002557
352,117994,313862,139321,481,1702,429018,1002378
353,117227,312918,139579,527,1716,429850,1001817
354,118122,312954,139435,563,1797,431129,1004000
355,117674,314554,139291,544,1718,430287,1004068
356,117290,313421,138919,492,1687,429606,1001415
357,118224,313974,139135,457,1703,429540,1003033
358,118469,312933,139835,495,1690,429127,1002549
359,118017,312364,138479,502,1694,430746,1001802
360,117913,312778,138804,453,1685,430441,1002074
361,117743,314834,137982,499,1727,429163,1001948
362,118357,313565,139019,458,1622,429497,1002518
363,117876,313962,139884,468,1755,429955,1003900
364,117781,313678,139940,436,1601,429594,1003030
365,118016,313632,138750,465,1615,430744,1003222
366,118282,313754,139615,479,1671,432466,1006267
367,118974,314630,137989,474,1654,431228,1004949
368,118411,314156,138630,469,1773,428968,1002407
369,117732,313705,138644,490,1638,430498,1002707
370,118094,314756,138848,520,1612,429922,1003752
371,117722,315065,138920,492,1662,430315,1004176
372,117571,314461,139369,495,1646,430123,1003665
373,118026,313516,139310,480,1584,430910,1003826
374,118277,313895,139353,497,1678,430414,1004114
375,117826,313335,140016,422,1679,430419,1003697
376,118397,314789,138913,529,1648,431325,1005601
377,117062,314377,139348,484,1650,429535,1002456
378,118169,314114,139639,437,1587,428576,1002522
379,117356,314432,138984,502,1646,427810,1000730
380,117461,314079,138490,462,1652,430669,1002813
381,117962,314958,139005,430,1693,429109,1003157
382,117304,313660,138438,508,1599,429606,1001115
383,117704,313510,138924,425,1668,429198,1001429
384,118379,313844,137598,499,1655,430076,1002051
385,117994,313959,139573,501,1580,429843,1003450
386,118798,312839,138531,537,1700,430891,1003296
387,117392,313961,139215,524,1566,430604,1003262
388,117572,313490,138915,563,1614,428826,1000980
389,118076,314082,139883,513,1680,429446,1003680
390,117194,315250,139848,475,1550,431229,1005546
391,118054,315883,138966,498,1695,430908,1006004
392,118081,313141,140391,502,1620,429136,1002871
393,117790,314190,139356,523,1732,430738,1004329
394,118192,313299,139722,456,1720,430302,1003691
395,118001,315159,138633,440,1728,430488,1004449
396,117885,316174,139129,491,1648,429547,1004874
397,117496,313973,139532,509,1665,428774,1001949
398,117158,313340,139380,462,1824,433144,1005308
399,117906,313238,139095,485,1608,428878,1001210
400,117696,313682,139025,483,1576,430016,1002478
401,117857,313695,139100,543,1574,431362,1004131
402,117787,314746,139303,509,1729,429832,1003906
403,118243,313562,138841,501,1752,432762,1005661
404,117956,313058,139506,453,1666,430867,1003506
405,118167,312876,138765,488,1760,430333,1002389
406,118143,312119,138674,464,1629,430319,1001348
407,117207,314873,138949,485,1823,428165,1001502
408,117780,314285,139320,402,1717,429280,1002784
409,117625,313434,139845,496,1638,430925,1003963
410,117119,314146,138373,501,1689,431668,1003496
411,117403,315188,139259,439,1650,430049,1003988
412,118600,312907,139375,470,1707,429842,1002901
413,117739,313772,138435,431,1717,430034,1002128
414,118647,313206,139457,464,1699,430063,1003536
415,118212,313271,139028,455,1659,430599,1003224
416,117902,313432,139179,437,1702,431125,1003777
417,118187,313736,139603,504,1705,429629,1003364
418,118068,314284,138018,523,1740,429938,1002571
419,118042,313893,139135,458,1650,431290,1004468
420,117753,314793,138605,440,1698,430302,1003591
421,118009,314152,138244,500,1668,431604,1004177
422,117838,314184,139258,435,1742,430698,1004155
423,117800,315052,138633,474,1828,429744,1003531
424,117624,313496,139593,464,1673,430128,1002978
425,118243,313752,139330,471,1720,428677,1002193
426,116672,315068,137857,436,1762,431491,1003286
427,117347,313781,139285,480,1739,430937,1003569
428,116878,314088,139608,430,1690,430200,1002894
429,118548,314258,138955,489,1605,431093,1004948
430,117040,313428,139150,461,1615,429648,1001342
431,116702,313472,138601,468,1684,428611,999538
432,117903,314003,138976,476,1724,430512,1003594
433,117627,313079,139667,477,1688,430573,1003111
434,116903,314665,138584,471,1696,429412,1001731
435,117609,313004,140018,494,1742,430732,1003599
436,118403,314182,139321,473,1660,429614,1003653
437,118218,314290,138813,499,1702,429217,1002739
438,117494,314701,139113,440,1765,430063,1003576
439,117591,313690,140002,442,1632,430966,1004323
440,117353,314553,139834,512,1656,429531,1003439
441,117780,313915,140473,473,1750,431131,1005522
442,117343,313169,139399,449,1762,429875,1001997
443,118047,315425,138980,440,1588,431476,1005956
444,117761,314089,139542,491,1644,429449,1002976
445,118154,313410,139834,452,1730,430528,1004108
446,117375,314925,139232,487,1667,429808,1003494
447,117053,313527,139516,518,1682,430902,1003198
448,117980,314113,138844,467,1758,430451,1003613
449,117195,312875,138929,456,1700,430445,1001600
450,117571,315163,138906,426,1828,430824,1004718
451,118052,312863,138798,493,1575,429198,1000979
452,117894,313378,139200,492,1662,431468,1004094
453,117758,313386,138346,529,1789,430650,1002458
454,117782,314892,139478,512,1625,431257,1005546
455,118002,313564,139000,449,1685,431143,1003843
456,116747,315604,140103,402,1631,430877,1005364
457,117342,313848,138269,446,1649,429303,1000857
458,117692,312767,139470,527,1731,431991,1004178
459,117358,314213,138757,519,1615,429714,1002176
460,117439,314550,139817,459,1605,431005,1004875
461,117957,313284,138605,429,1709,429614,1001598
462,117843,313889,139318,489,1649,430596,1003784
463,118124,312580,139399,487,1721,429598,1001909
464,118159,313732,139716,481,1761,430464,1004313
465,118314,314754,139905,451,1633,430250,1005307
466,117599,314410,139064,444,1724,430169,1003410
467,118863,313767,138878,471,1638,432377,1005994
468,118133,312632,140261,480,1762,430344,1003612
469,118158,312965,139023,465,1618,431776,1004005
470,118487,314753,138756,482,1780,431192,1005450
471,117626,315349,139188,493,1692,430603,1004951
472,117467,314554,138646,494,1758,429683,1002602
473,118256,313620,138577,476,1628,428603,1001160
474,118180,314307,139111,490,1707,429905,1003700
475,117734,314224,139975,483,1735,430486,1004637
476,117599,313890,138572,522,1707,430071,1002361
477,117622,313055,138064,422,1736,430864,1001763
478,117713,314380,139451,483,1802,431802,1005631
479,118002,314667,138604,463,1608,429681,1003025
480,118599,314091,140349,498,1684,430623,1005844
481,118389,314333,138981,502,1675,431584,1005464
482,117993,312638,139091,486,1714,431474,1003396
483,117989,314128,139674,491,1668,429282,1003232
484,118514,313527,139128,477,1780,430082,1003508
485,118287,313725,139719,536,1557,430420,1004244
486,117459,313230,139290,515,1697,430024,1002215
487,117385,315120,139048,487,1697,431937,1005674
488,117244,313128,139100,446,1696,432357,1003971
489,118114,315472,138743,456,1615,429400,1003800
490,118329,314364,139567,484,1642,429978,1004364
491,118405,312720,138981,481,1766,430260,1002613
492,117735,312836,139615,443,1645,430577,1002851
493,117641,314386,139554,452,1822,430603,1004458
494,117798,314023,139079,481,1697,429316,1002394
495,118120,313922,138678,443,1733,429430,1002326
496,117133,314370,139808,454,1724,431219,1004708
497,118780,314534,138077,508,1706,429913,1003518
498,118316,313234,140176,487,1674,428650,1002537
499,117814,313631,138569,503,1678,429504,1001699
500,119073,312962,138646,472,1577,429679,1002409
