seed,,5S-Deu-L2,Alu,CR1,Crypton,Crypton-A,Dong-R4,ERV1,ERVK,ERVL,ERVL-MaLR,Gypsy,Helitron,I-Jockey,Kolobok,L1,L1-Tx1,L2,MIR,MULE-MuDR,Merlin,PIF-Harbinger,Penelope,PiggyBac,RTE-BovB,RTE-X,SVA,TcMar,TcMar-Mariner,TcMar-Pogo,TcMar-Tc1,TcMar-Tc2,TcMar-Tigger,hAT,hAT-Ac,hAT-Blackjack,hAT-Charlie,hAT-Tag1,hAT-Tip100,hAT-Tip100?,hAT-hAT19,hAT?,tRNA,tRNA-Deu,tRNA-RTE
26,5235,537,292628,14717,68,25,118,31822,2137,30537,67012,4937,466,43,101,184196,45,109571,134551,723,54,95,209,524,1480,3396,1616,80,4065,8,170,1721,27788,823,1036,4081,59414,548,14737,17,6,8,451,135,1001
27,5179,462,293818,14493,59,30,161,31804,1979,30732,66734,5014,497,46,104,185972,33,109357,133922,664,64,117,189,518,1557,3327,1695,47,3915,6,206,1835,27250,796,996,4159,58804,545,14445,23,4,11,411,104,1022
28,5372,542,293988,14494,68,19,132,31287,2230,30623,66890,4797,471,33,103,185188,47,108147,135233,715,56,105,197,526,1478,3416,1735,58,4067,17,176,1735,27873,754,969,4040,59175,542,14825,23,3,10,445,100,1059
29,5529,579,293587,14561,93,37,154,31752,2042,30253,67170,5040,465,31,102,185194,47,108960,134378,669,48,93,195,550,1419,3247,1664,61,4077,3,159,1773,27761,759,1031,4165,58796,546,14856,13,5,9,448,119,1039
30,5271,483,294140,14402,46,32,172,31317,2162,30873,66800,4872,472,24,98,185534,31,108681,135389,695,66,107,150,528,1564,3252,1700,71,3976,6,153,1761,27825,811,1046,3858,59382,531,14852,11,8,14,479,113,986
31,5417,501,293226,14382,72,41,178,31095,2033,30171,66576,4846,490,37,86,184322,44,109142,134284,651,49,107,227,568,1488,3416,1612,43,3783,8,187,1810,27807,753,1039,4116,59161,600,15039,14,2,7,443,135,1024
32,5517,528,292925,14472,59,28,138,31288,2234,30810,66767,4628,496,28,113,185208,30,108887,134352,690,68,90,175,594,1487,3302,1728,50,3972,2,164,1819,27059,816,959,4172,59423,516,14740,9,4,11,394,136,1019
33,5295,572,295126,14421,78,53,137,31377,2243,31148,67008,4653,499,33,81,184538,49,109706,135443,698,77,112,223,537,1430,3349,1697,49,3883,11,171,1724,27382,838,1030,4231,59243,496,14513,13,4,8,402,104,1070
34,5336,545,294101,14469,67,22,142,31423,2071,30594,66488,4850,471,24,78,183844,23,109560,135241,681,54,75,180,551,1486,3259,1610,50,3902,9,167,1750,27922,781,1013,4182,59373,630,14769,17,4,9,361,119,1039
35,5317,528,294775,14541,76,33,145,31139,2181,30681,66197,4951,525,38,123,184343,27,109065,134685,617,66,130,208,536,1528,3317,1637,58,3977,9,190,1726,27362,747,982,4211,59468,574,14760,17,1,5,371,76,1039
36,5350,485,292489,14753,93,52,138,31046,2070,30612,66708,4943,454,33,107,184998,43,109641,133838,696,60,123,193,564,1537,3357,1656,57,3900,13,181,1886,27720,727,1113,4100,58397,548,14798,15,4,7,440,110,1049
37,5368,556,293737,14531,77,41,184,31418,2012,30619,66732,4981,494,29,102,185438,33,109089,134398,659,57,106,208,575,1527,3414,1679,62,3978,12,151,1728,27445,790,980,3934,59494,513,14674,25,5,19,429,113,1054
38,5278,513,293364,14580,90,24,142,31596,2178,30308,66861,4651,469,28,85,184560,35,108866,134849,647,69,93,198,583,1510,3550,1685,48,3862,9,194,1763,27575,706,1075,4146,59159,547,14858,25,1,5,426,87,1028
39,5349,562,293140,14488,78,43,171,31192,2062,31150,66413,4739,516,25,97,182909,53,109119,134365,711,67,111,184,562,1478,3234,1644,41,4024,10,179,1798,27912,708,1033,4097,59130,539,14699,15,12,5,448,75,1024
40,5226,536,292678,14736,71,46,160,31128,2128,30468,67751,4921,465,27,121,185830,34,109783,135605,693,48,130,184,584,1429,3305,1705,67,3897,4,259,1889,27800,777,978,3985,59774,516,14748,22,3,11,406,121,1071
41,5182,521,294446,14486,86,32,149,31278,2066,30316,66472,4936,466,42,94,185215,52,108576,133917,649,81,105,195,576,1553,3352,1665,70,4017,6,170,1891,27467,734,953,4168,60138,561,14756,17,8,1,364,104,1005
42,5493,491,293374,14292,85,54,148,30895,2128,30267,67253,4881,453,28,106,184968,32,109321,133962,608,64,85,164,503,1443,3458,1681,48,4030,9,205,1742,27141,767,1034,4077,59341,547,14778,17,4,13,358,88,1085
43,5348,552,294314,14860,78,35,138,31649,2155,30847,66294,4741,419,39,80,184693,51,108971,134128,713,67,129,144,553,1389,3374,1758,56,3999,12,178,1777,27327,804,1025,4110,59047,498,14772,12,9,13,414,109,1051
44,5253,504,293721,14857,91,22,166,31416,2086,30569,66290,4863,482,26,94,184067,33,108678,134862,628,60,84,213,510,1535,3403,1645,49,3872,8,188,1757,27675,775,1021,4023,59267,572,14929,17,4,10,417,111,1057
45,5403,532,294307,14268,74,35,156,31723,2136,30659,66539,4961,455,28,86,184236,54,109013,134790,719,75,102,201,553,1544,3347,1608,50,3957,5,160,1798,27696,810,1077,4118,59388,535,14893,22,7,5,415,112,1013
46,5244,513,294170,14521,55,38,139,31276,2195,30927,67562,4780,481,40,105,184729,37,108621,135703,617,55,86,209,577,1597,3404,1696,53,3997,5,165,1725,27581,803,1035,4180,60224,486,14719,20,3,14,460,97,1082
47,5260,508,293645,14605,82,37,167,31813,2218,31116,66467,4827,443,29,90,185273,33,108761,134798,750,62,96,224,569,1389,3383,1671,57,3872,14,205,1794,27739,761,1005,4135,58719,530,14793,30,2,13,404,128,1033
48,5419,560,293917,14545,98,38,145,31370,2135,30963,67090,4910,513,29,87,185467,19,108888,133130,635,87,87,185,508,1478,3350,1784,60,3842,22,189,1706,27732,818,960,4047,58912,576,15088,22,4,9,385,104,1086
49,5281,528,292922,14304,86,37,136,31378,2181,31491,66224,4933,569,30,97,184717,39,109539,135140,696,71,137,196,493,1518,3391,1740,67,3839,15,165,1792,27679,728,1027,4133,59162,554,14671,28,0,5,412,144,1033
50,5344,566,292920,14678,69,37,114,31395,2174,30883,66597,4999,464,21,88,184334,44,108929,135172,702,55,113,193,548,1463,3323,1646,63,4111,9,170,1764,27935,745,1079,4182,59613,439,14750,16,4,10,438,101,1036
51,5342,525,294116,14525,63,26,154,31325,2124,30726,67019,4951,472,33,105,185856,47,109042,134437,671,60,116,210,512,1409,3476,1700,65,3895,13,173,1762,27560,706,1045,4095,59178,555,15213,14,1,5,380,124,1066
52,5277,490,293902,14131,72,26,182,31370,2185,30627,66902,4949,486,34,115,183912,32,109193,134014,597,65,122,218,583,1404,3331,1780,56,3827,7,167,1830,27546,778,955,4005,59280,573,14750,15,2,7,419,99,1102
53,5217,549,293153,14632,81,24,147,31932,2075,31061,66561,4896,486,43,99,185792,37,109848,134615,637,56,105,200,594,1448,3426,1705,64,3971,17,209,1781,27911,769,1046,4140,59857,546,14559,19,0,9,421,134,1031
54,5362,450,293980,14271,84,43,142,31363,2127,30626,66930,4845,514,37,100,184233,45,109809,133541,679,49,99,202,551,1507,3369,1688,48,3891,4,156,1721,27315,775,1005,4137,58930,505,14592,17,5,10,452,102,1121
55,5427,561,294257,14658,77,42,164,31190,2019,30775,66900,4982,463,39,94,184342,24,109551,135561,662,77,107,210,579,1474,3463,1651,54,3915,11,210,1829,27538,747,1060,4048,59574,573,14770,19,8,4,463,119,1060
56,5474,528,293177,14773,90,43,150,31900,2135,30556,66653,4937,445,23,129,184406,37,109525,134653,665,57,91,199,532,1438,3338,1638,60,3911,13,148,1826,27644,755,1086,4066,59456,504,15071,36,5,8,429,128,998
57,5345,459,293268,14407,83,41,141,31523,2084,30372,66270,4867,460,30,104,185876,34,109297,135184,626,47,128,216,546,1411,3474,1642,70,3992,6,195,1849,27310,755,996,3956,59533,473,14781,10,4,8,403,115,1095
58,5400,447,294452,14380,60,47,155,31156,2121,30711,66413,4895,458,21,113,185729,36,109209,134447,688,54,100,226,535,1477,3381,1660,51,3800,9,215,1755,27801,755,971,3995,59369,554,14704,18,8,5,350,144,1066
59,5249,442,292887,14476,80,39,153,31223,2083,30725,66113,4847,428,33,109,184811,30,108945,133983,630,75,108,200,560,1446,3332,1707,56,3967,7,153,1827,27984,765,1052,4125,59255,577,14739,19,8,6,419,147,1121
60,5073,477,293650,14330,81,42,132,31273,2235,31080,66937,4823,484,37,101,184667,50,109830,134769,703,53,105,194,548,1405,3285,1687,49,3985,11,148,1821,27554,789,996,4088,58982,523,14830,18,5,5,418,112,1089
61,5461,478,294011,14675,67,29,169,31592,2213,30504,66989,5016,527,36,76,184361,40,109129,135443,665,63,97,213,582,1514,3199,1588,43,3931,8,155,1872,27866,822,1014,4114,59026,542,14782,17,5,13,433,109,956
62,5396,536,293213,14817,93,36,176,31830,2051,30653,67143,4878,514,28,95,184026,24,108865,135057,661,52,100,217,555,1457,3242,1655,57,3952,14,170,1724,27488,805,1045,4213,58764,550,14869,30,4,20,404,123,996
63,5107,491,292668,14435,57,30,177,31409,2167,30818,66220,4934,498,30,110,184749,38,109096,135253,642,62,104,236,574,1505,3276,1652,59,4087,10,153,1825,27502,784,1051,4164,59444,514,14764,16,3,11,454,96,1046
64,5289,519,293701,14625,72,34,129,31856,2047,30908,66631,4972,452,36,103,185576,33,109093,134617,710,59,111,256,593,1642,3296,1593,52,3866,18,198,1812,27589,738,1058,4033,58996,522,14651,15,16,9,460,104,1016
65,5217,463,293407,14668,85,46,140,31641,2149,30181,66690,4862,516,31,115,183530,38,109457,134540,719,71,96,159,609,1415,3481,1578,55,4058,10,177,1857,27561,802,979,3999,59188,557,14872,11,4,6,422,113,1004
66,5505,526,293960,14344,68,22,147,31814,2189,30999,66387,4887,478,48,97,184391,38,109288,133612,695,65,82,203,556,1567,3489,1696,56,3806,13,154,1804,27841,750,1080,4031,59055,507,15171,11,7,17,460,121,977
67,5325,496,293552,14509,63,24,151,31557,2116,30966,66647,4856,503,43,98,184609,47,109145,135054,663,53,107,173,488,1505,3383,1608,56,3867,19,169,1772,27594,744,1008,4189,59483,487,14799,9,4,8,378,94,1007
68,5263,533,292585,14569,83,49,167,31236,1984,30377,66787,4821,475,46,91,184709,36,109364,133965,729,56,125,201,534,1480,3372,1648,58,3761,4,187,1771,27757,827,1027,4033,59412,587,14934,13,10,16,389,111,1068
69,5405,519,293340,14858,77,39,155,31605,2194,30447,66689,4926,486,25,134,184655,40,108260,135595,664,33,90,201,562,1402,3288,1592,47,4047,2,187,1827,27350,731,1028,3993,58792,582,14815,18,12,6,410,85,1020
70,5295,542,293166,14586,80,51,127,31795,2025,30433,66664,4781,489,36,125,185058,27,109589,135538,734,69,90,234,553,1452,3497,1755,84,4093,9,169,1892,27682,799,969,4221,59224,575,14726,24,5,6,450,86,1037
71,5366,481,293500,14538,81,44,141,31526,2109,30497,67122,4962,476,56,113,185206,56,109067,135680,707,31,135,207,463,1543,3355,1712,63,3991,7,181,1760,27943,732,1086,4146,59121,508,15076,23,0,9,418,94,1039
72,5333,492,293836,14264,72,17,134,31959,2006,30584,67352,4924,470,25,96,186077,43,109342,134294,734,42,98,178,530,1583,3285,1613,50,3768,11,172,1714,27638,702,1052,4166,60080,567,14565,11,6,7,432,124,1102
73,5363,524,293851,14525,86,34,173,31049,2120,30679,66927,4812,526,30,91,184959,44,109492,134700,693,74,83,226,687,1475,3347,1703,59,3919,12,209,1720,27614,792,989,4127,59365,531,15048,29,2,5,411,124,1019
74,5326,537,292959,14605,71,28,136,31148,2171,30559,66935,4934,459,43,106,185134,32,109211,135091,686,56,96,210,534,1457,3456,1659,48,4051,4,205,1774,27472,742,958,4054,59137,561,14876,18,10,4,410,104,1008
75,5225,499,293975,14436,84,52,178,31427,2183,30791,66124,4909,467,26,93,183911,58,109051,134674,666,60,98,208,459,1583,3452,1630,63,4137,3,156,1747,27534,810,1110,4002,59344,574,15248,17,2,5,403,139,965
76,5476,455,293757,14565,94,32,104,30977,2109,30838,66747,4778,519,60,90,184536,52,109169,133929,686,70,115,194,544,1557,3300,1653,63,3916,13,158,1846,27708,740,1089,4266,59421,528,15073,17,6,15,419,109,1008
77,5402,510,292497,14685,71,50,119,31076,2212,30687,66403,4859,476,24,95,185631,36,109567,134326,640,61,117,185,539,1481,3369,1666,59,4058,5,162,1885,27753,802,1079,4018,59423,490,14711,26,2,11,396,111,931
78,5287,491,292646,14625,97,46,161,31550,2158,30589,67187,4931,486,42,113,185506,36,109070,135363,679,74,87,202,622,1420,3291,1597,46,4069,7,166,1772,27235,753,1121,4160,58933,584,14703,20,0,12,397,114,1080
79,5516,496,293831,14519,92,25,143,31229,2097,30362,66639,4932,462,54,99,184592,46,109455,134725,728,47,108,196,509,1425,3350,1724,55,3935,4,191,1860,27940,832,1009,4343,59044,492,14781,21,2,14,418,109,1086
80,5322,535,294027,14380,56,44,155,31084,2091,30312,67241,4778,487,36,110,186162,32,108516,134486,641,69,108,217,504,1517,3197,1689,69,3954,4,185,1747,27611,772,1049,4072,59077,556,14986,11,3,6,408,112,979
81,5262,542,294135,14597,78,30,163,31270,2171,30737,66351,4872,427,32,94,185805,32,109521,135417,672,57,94,253,600,1419,3474,1639,75,4011,6,180,1649,27240,789,992,4086,59541,591,14966,9,10,8,397,133,1082
82,5258,527,293036,14331,54,28,139,31178,2018,30660,67077,4981,500,29,74,184695,25,109419,134361,704,44,91,235,564,1453,3431,1673,60,3943,12,170,1754,27202,777,974,4223,59184,513,14771,12,12,9,391,114,1022
83,5293,518,293142,14321,54,22,157,31653,2063,31074,66600,4682,466,31,75,185421,36,108578,134023,624,50,114,227,538,1340,3293,1693,74,3935,10,181,1891,27535,770,1044,4171,59171,558,14973,12,2,17,435,113,1119
84,5337,489,293819,14617,90,42,168,31574,2144,31071,66491,4800,493,41,91,183997,38,108863,134033,684,53,110,203,557,1559,3417,1665,59,3968,9,175,1800,27358,788,1096,4006,59148,516,14853,14,3,5,405,104,1026
85,5400,560,292133,14329,71,42,149,31465,2100,30748,67286,4666,468,35,93,184879,26,108328,134237,681,62,106,193,535,1427,3382,1606,48,3968,9,149,1833,27591,781,1037,4211,59783,505,15115,22,7,1,408,125,993
86,5143,544,294447,14410,70,63,124,31707,2107,30645,67034,4911,499,24,81,185586,24,108682,133923,638,58,71,213,613,1469,3373,1751,65,4038,15,179,1834,27411,722,1065,4180,58967,519,14902,22,10,12,412,140,944
87,5344,525,293027,14710,89,24,158,31282,2188,30750,66749,4955,520,33,105,185499,45,109630,133992,677,46,99,179,553,1484,3440,1743,72,3952,4,183,1735,27845,884,1060,3979,59327,551,14525,18,5,10,360,118,1005
88,5451,448,293335,14355,78,34,126,31412,2022,30327,66726,4774,469,24,85,185538,36,108886,134393,651,51,103,238,590,1507,3270,1716,57,4125,14,166,1756,27179,707,1029,3965,59045,559,14986,27,5,5,415,118,1087
89,5387,556,293846,14449,81,47,128,31144,2091,30962,66625,4873,490,57,75,185033,35,109295,134179,723,75,88,236,534,1407,3465,1652,43,3852,25,161,1698,27541,810,1015,4057,59110,551,14778,21,1,12,451,117,1093
90,5433,565,293642,14541,69,44,153,31004,2066,31046,66939,4862,479,44,96,185138,32,109153,133823,640,47,133,208,562,1553,3347,1769,55,3861,4,182,1854,27317,755,1074,4029,59125,503,14903,26,2,15,362,103,1020
91,5430,499,293250,14379,57,44,173,31476,2034,30630,66590,4864,459,26,110,186188,43,109992,134474,681,60,107,217,496,1437,3311,1745,61,3901,12,217,1808,27521,786,1049,4054,59614,590,14677,13,2,8,377,144,1103
92,5182,466,292634,14305,60,28,165,31396,2105,30748,67762,4578,499,41,88,185615,45,109716,135279,699,63,120,205,514,1570,3477,1585,61,3860,11,168,1837,27646,802,1032,3947,59442,526,14657,17,2,11,399,127,1144
93,5219,556,295068,14780,61,29,171,31327,2247,30604,66204,4807,491,36,96,185388,44,108839,133776,693,51,108,203,528,1481,3431,1716,55,3889,7,162,1667,27858,784,1031,4040,58939,532,15135,11,8,13,430,121,1019
94,5447,482,294105,14439,75,49,136,31428,2200,30377,66741,4747,524,46,120,185632,50,109145,134015,758,57,102,247,574,1445,3385,1768,73,3973,9,186,1876,27339,780,1020,4112,59339,523,14683,20,0,14,380,120,1073
95,5271,492,292132,14420,79,30,154,31707,2177,30520,66955,4778,478,52,99,185358,53,110206,135212,647,52,102,216,518,1584,3399,1670,43,3840,9,175,1895,27614,743,959,4079,58946,529,14743,26,6,8,373,126,1135
96,5361,477,293648,14302,77,34,167,31231,2193,30576,66921,4881,469,27,111,184887,25,109738,134297,715,54,100,198,619,1497,3368,1716,35,3905,5,155,1722,27584,808,964,4109,59356,550,14813,20,10,15,398,111,1133
97,5356,538,294783,14458,55,30,159,31242,2132,31196,66977,4889,428,46,117,185117,44,109132,134243,689,62,102,193,550,1454,3411,1722,55,3867,11,201,1831,27235,766,1064,3952,59308,478,14684,19,1,1,421,102,1083
98,5253,515,294202,14643,79,39,156,31349,2078,30891,67108,4818,463,31,133,185413,39,110080,134785,683,61,109,208,588,1423,3336,1657,61,3974,9,200,1770,27583,735,966,4097,58984,532,14828,17,3,7,413,94,1005
99,5436,519,293858,14582,87,25,170,31293,2183,30496,66967,4802,504,44,104,184502,35,108870,134283,645,71,106,201,585,1379,3269,1654,69,4162,16,196,1728,28105,804,1028,3924,59211,529,15094,16,5,9,398,126,1038
100,5159,550,292632,14720,77,43,126,30905,2079,30567,66211,4656,461,59,107,185676,60,108824,134968,655,63,118,183,579,1478,3305,1707,47,3922,11,178,1845,27372,734,1086,4077,59228,535,14681,13,3,9,375,139,1090
101,5311,454,293675,14693,93,29,117,31324,2186,31035,66781,4921,510,37,115,185636,28,109026,134112,690,45,92,177,487,1494,3328,1662,61,4012,14,203,1693,27696,777,1072,3986,59486,527,14915,18,13,6,420,116,1014
102,5270,526,293032,14576,76,26,164,31653,2200,30703,66606,4801,487,45,96,184988,40,109342,134093,639,54,112,203,605,1455,3381,1596,67,3965,6,175,1862,27435,774,1009,4029,59418,497,14743,23,2,14,451,98,1108
103,5404,498,294081,14478,84,35,123,31245,2159,31011,66289,4796,463,51,132,185803,36,109477,134227,650,52,123,217,612,1391,3159,1663,45,4063,7,149,1727,27757,792,1032,4008,59323,570,15006,14,11,9,460,97,1076
104,5243,507,292892,14725,78,23,155,31297,2020,30481,66929,4862,504,27,111,186419,48,109337,134560,698,58,89,180,558,1435,3375,1752,48,3955,6,192,1776,27439,796,1001,4030,59091,505,15155,19,3,3,429,108,1023
105,5480,524,293705,14766,63,40,171,31310,2007,30933,65974,4763,490,38,91,184815,31,109716,134488,696,66,92,180,530,1510,3357,1703,61,3921,14,170,1831,27471,772,999,4042,59263,533,14660,23,1,10,445,110,1024
106,5299,514,293205,14610,65,35,116,31190,2058,30198,66955,4768,488,26,101,184952,44,109156,134574,654,72,85,201,618,1477,3396,1708,46,4073,12,192,1762,27537,776,1088,4121,59470,565,14802,22,1,4,404,112,1101
107,5036,478,293316,14645,53,39,140,30772,2110,31046,67375,4837,466,22,88,184896,51,108428,134450,654,56,142,213,530,1533,3449,1656,52,3889,11,152,1779,27398,803,1024,4168,59522,521,14806,16,2,4,387,99,1126
108,5477,501,294111,14834,85,45,157,31674,2078,31025,67077,5045,460,31,110,185556,32,108670,134607,668,63,122,227,519,1431,3475,1735,60,3978,7,157,1785,27878,699,1075,4039,59153,562,14815,14,8,8,437,150,1022
109,5361,572,292269,14272,88,28,192,31756,2045,30768,66534,4765,470,29,128,184962,27,108862,134668,646,55,111,198,568,1489,3546,1662,52,3924,8,173,1744,27859,743,1041,4148,58989,578,14743,12,7,8,395,98,1070
110,5306,484,294257,14277,68,43,188,31490,2038,30869,67227,4766,522,34,103,186597,37,108994,134302,687,67,114,200,541,1496,3179,1657,49,3856,5,158,1898,27090,775,966,4013,58979,502,14900,10,7,11,372,93,1112
111,5330,507,292834,14775,80,36,187,31649,2101,30602,66639,4834,509,21,96,185072,23,108725,133654,703,39,112,203,550,1530,3482,1629,49,3952,9,159,1686,27510,703,995,4071,58972,557,14830,11,7,7,426,101,1123
112,5426,533,293938,14685,105,33,144,31197,2233,30466,66172,4819,502,41,108,186147,52,109927,134221,667,45,76,194,549,1475,3234,1748,73,3951,6,195,1869,27795,759,1026,4072,59094,581,14895,22,4,18,389,114,991
113,5257,498,293891,14380,87,34,112,31668,2207,30746,67053,4899,453,37,88,184646,35,108835,135343,646,71,116,188,544,1470,3451,1742,43,4017,8,170,1829,28010,766,940,3932,59673,557,14813,16,0,9,391,113,1084
114,5486,512,294013,14614,85,39,126,31438,2158,30265,66632,4758,451,30,111,185620,41,109951,134874,676,62,106,195,573,1479,3326,1671,59,4008,7,195,1729,27367,780,1080,4058,59506,483,14882,16,5,10,372,111,1092
115,5443,522,293085,14832,78,41,134,31189,2139,30540,66664,5005,494,34,110,185110,49,109236,133611,696,50,135,194,516,1534,3478,1689,44,3935,9,187,1751,27641,740,1036,3981,59110,567,15054,13,1,9,383,102,1106
116,5444,515,293367,14618,60,41,152,31474,2014,31141,67083,5018,499,21,98,184825,48,110035,134075,651,87,101,234,505,1537,3401,1718,54,4008,4,177,1837,27717,781,1030,4166,59799,529,14881,19,3,4,384,129,1055
117,5368,489,293552,14734,107,26,128,31475,2202,31335,66641,4935,437,20,123,185720,60,109018,135650,763,65,115,197,596,1529,3493,1610,61,3816,5,187,1730,27739,739,955,4083,60030,533,14819,26,3,4,414,103,1099
