test,null_mean_l1_divergence
T1_divergence_unmatched,228.393
T1_divergence_unmatched,202.906
T1_divergence_unmatched,208.348
T1_divergence_unmatched,157.386
T1_divergence_unmatched,206.923
T1_divergence_unmatched,179.89
T1_divergence_unmatched,172.755
T1_divergence_unmatched,188.258
T1_divergence_unmatched,248.556
T1_divergence_unmatched,168.6
T1_divergence_unmatched,166.509
T1_divergence_unmatched,205.767
T1_divergence_unmatched,178.241
T1_divergence_unmatched,204.149
T1_divergence_unmatched,212.273
T1_divergence_unmatched,206.889
T1_divergence_unmatched,192.41
T1_divergence_unmatched,179.173
T1_divergence_unmatched,165.146
T1_divergence_unmatched,184.6
T1_divergence_unmatched,171.917
T1_divergence_unmatched,180.714
T1_divergence_unmatched,215.375
T1_divergence_unmatched,197.118
T1_divergence_unmatched,196.541
T1_divergence_unmatched,12.0
T1_divergence_unmatched,220.243
T1_divergence_unmatched,181.708
T1_divergence_unmatched,200.196
T1_divergence_unmatched,204.517
T1_divergence_unmatched,178.111
T1_divergence_unmatched,177.714
T1_divergence_unmatched,214.902
T1_divergence_unmatched,187.909
T1_divergence_unmatched,219.408
T1_divergence_unmatched,198.533
T1_divergence_unmatched,190.833
T1_divergence_unmatched,160.735
T1_divergence_unmatched,186.935
T1_divergence_unmatched,194.4
T1_divergence_unmatched,135.237
T1_divergence_unmatched,220.935
T1_divergence_unmatched,199.781
T1_divergence_unmatched,211.727
T1_divergence_unmatched,197.5
T1_divergence_unmatched,182.293
T1_divergence_unmatched,202.462
T1_divergence_unmatched,200.75
T1_divergence_unmatched,179.167
T1_divergence_unmatched,143.383
T1_divergence_unmatched,203.837
T1_divergence_unmatched,180.871
T1_divergence_unmatched,217.538
T1_divergence_unmatched,20.0
T1_divergence_unmatched,188.952
T1_divergence_unmatched,182.706
T1_divergence_unmatched,172.889
T1_divergence_unmatched,215.703
T1_divergence_unmatched,187.051
T1_divergence_unmatched,163.96
T1_divergence_unmatched,163.571
T1_divergence_unmatched,202.435
T1_divergence_unmatched,177.81
T1_divergence_unmatched,213.562
T1_divergence_unmatched,214.757
T1_divergence_unmatched,291.0
T1_divergence_unmatched,181.912
T1_divergence_unmatched,187.0
T1_divergence_unmatched,218.045
T1_divergence_unmatched,173.524
T1_divergence_unmatched,197.444
T1_divergence_unmatched,213.893
T1_divergence_unmatched,194.34
T1_divergence_unmatched,186.175
T1_divergence_unmatched,209.568
T1_divergence_unmatched,197.528
T1_divergence_unmatched,163.644
T1_divergence_unmatched,51.0
T1_divergence_unmatched,175.132
T1_divergence_unmatched,192.333
T1_divergence_unmatched,183.867
T1_divergence_unmatched,208.123
T1_divergence_unmatched,174.605
T1_divergence_unmatched,243.364
T1_divergence_unmatched,170.65
T1_divergence_unmatched,193.864
T1_divergence_unmatched,200.392
T1_divergence_unmatched,192.433
T1_divergence_unmatched,192.241
T1_divergence_unmatched,179.483
T1_divergence_unmatched,190.786
T1_divergence_unmatched,199.217
T1_divergence_unmatched,187.057
T1_divergence_unmatched,168.5
T1_divergence_unmatched,182.714
T1_divergence_unmatched,150.935
T1_divergence_unmatched,192.568
T1_divergence_unmatched,207.217
T1_divergence_unmatched,186.576
T1_divergence_unmatched,188.574
T1_divergence_unmatched,203.533
T1_divergence_unmatched,212.587
T1_divergence_unmatched,223.92
T1_divergence_unmatched,164.515
T1_divergence_unmatched,208.639
T1_divergence_unmatched,189.375
T1_divergence_unmatched,197.021
T1_divergence_unmatched,182.472
T1_divergence_unmatched,198.683
T1_divergence_unmatched,199.295
T1_divergence_unmatched,174.023
T1_divergence_unmatched,180.077
T1_divergence_unmatched,232.108
T1_divergence_unmatched,178.914
T1_divergence_unmatched,217.645
T1_divergence_unmatched,247.412
T1_divergence_unmatched,195.892
T1_divergence_unmatched,215.222
T1_divergence_unmatched,193.087
T1_divergence_unmatched,215.514
T1_divergence_unmatched,214.049
T1_divergence_unmatched,179.021
T1_divergence_unmatched,193.84
T1_divergence_unmatched,182.738
T1_divergence_unmatched,189.5
T1_divergence_unmatched,142.128
T1_divergence_unmatched,184.5
T1_divergence_unmatched,191.688
T1_divergence_unmatched,187.915
T1_divergence_unmatched,203.314
T1_divergence_unmatched,183.702
T1_divergence_unmatched,165.304
T1_divergence_unmatched,221.889
T1_divergence_unmatched,225.263
T1_divergence_unmatched,205.224
T1_divergence_unmatched,163.135
T1_divergence_unmatched,219.346
T1_divergence_unmatched,186.978
T1_divergence_unmatched,156.857
T1_divergence_unmatched,192.676
T1_divergence_unmatched,198.225
T1_divergence_unmatched,179.775
T1_divergence_unmatched,205.444
T1_divergence_unmatched,223.34
T1_divergence_unmatched,177.35
T1_divergence_unmatched,164.6
T1_divergence_unmatched,215.96
T1_divergence_unmatched,210.05
T1_divergence_unmatched,190.432
T1_divergence_unmatched,178.914
T1_divergence_unmatched,173.583
T1_divergence_unmatched,225.056
T1_divergence_unmatched,25.5
T1_divergence_unmatched,201.771
T1_divergence_unmatched,166.397
T1_divergence_unmatched,191.189
T1_divergence_unmatched,201.231
T1_divergence_unmatched,167.565
T1_divergence_unmatched,167.069
T1_divergence_unmatched,165.69
T1_divergence_unmatched,211.421
T1_divergence_unmatched,195.455
T1_divergence_unmatched,203.069
T1_divergence_unmatched,174.379
T1_divergence_unmatched,232.913
T1_divergence_unmatched,165.294
T1_divergence_unmatched,199.25
T1_divergence_unmatched,171.312
T1_divergence_unmatched,185.419
T1_divergence_unmatched,212.067
T1_divergence_unmatched,181.07
T1_divergence_unmatched,162.375
T1_divergence_unmatched,204.526
T1_divergence_unmatched,200.459
T1_divergence_unmatched,188.381
T1_divergence_unmatched,183.683
T1_divergence_unmatched,209.615
T1_divergence_unmatched,179.568
T1_divergence_unmatched,164.61
T1_divergence_unmatched,215.72
T1_divergence_unmatched,187.933
T1_divergence_unmatched,193.738
T1_divergence_unmatched,186.946
T1_divergence_unmatched,188.62
T1_divergence_unmatched,175.673
T1_divergence_unmatched,211.435
T1_divergence_unmatched,150.136
T1_divergence_unmatched,200.121
T1_divergence_unmatched,164.797
T1_divergence_unmatched,199.323
T1_divergence_unmatched,164.556
T1_divergence_unmatched,186.889
T1_divergence_unmatched,191.76
T1_divergence_unmatched,177.529
T1_divergence_unmatched,149.87
T1_divergence_unmatched,205.857
T1_divergence_unmatched,210.233
T1_divergence_unmatched,168.389
T1_divergence_unmatched,186.625
T1_divergence_unmatched,30.0
T1_divergence_unmatched,182.119
T1_divergence_unmatched,186.057
T1_divergence_unmatched,174.949
T1_divergence_unmatched,198.058
T1_divergence_unmatched,185.1
T1_divergence_unmatched,170.581
T1_divergence_unmatched,212.286
T1_divergence_unmatched,169.625
T1_divergence_unmatched,222.097
T1_divergence_unmatched,180.242
T1_divergence_unmatched,174.189
T1_divergence_unmatched,189.683
T1_divergence_unmatched,209.333
T1_divergence_unmatched,180.93
T1_divergence_unmatched,191.567
T1_divergence_unmatched,179.6
T1_divergence_unmatched,170.778
T1_divergence_unmatched,193.333
T1_divergence_unmatched,172.45
T1_divergence_unmatched,205.178
T1_divergence_unmatched,162.105
T1_divergence_unmatched,165.341
T1_divergence_unmatched,191.294
T1_divergence_unmatched,186.557
T1_divergence_unmatched,232.941
T1_divergence_unmatched,190.5
T1_divergence_unmatched,181.5
T1_divergence_unmatched,203.2
T1_divergence_unmatched,200.0
T1_divergence_unmatched,102.667
T1_divergence_unmatched,197.889
T1_divergence_unmatched,236.926
T1_divergence_unmatched,186.128
T1_divergence_unmatched,199.396
T1_divergence_unmatched,183.421
T1_divergence_unmatched,179.061
T1_divergence_unmatched,172.72
