,class_name,individual_name
2173,LTR,LTR27C
2187,DNA,MER117
2192,LINE,L1M4a1
2201,LTR,LTR106_Mam
2210,LTR,LTR12D
2213,LTR,LTR12E
2217,DNA,MER75
2222,LTR,MLT2B4
2231,DNA,Tigger17b
2234,DNA,Charlie25
2240,LTR,MER51A
2242,DNA,MER96
2247,SINE,AluSq4
2261,DNA,MER44A
2278,LTR,MLT1E2
2293,DNA,MER107
2309,DNA,Arthur1C
2310,DNA,MER45C
2325,DNA,MER121
2332,LINE,L1PA12
2347,LTR,LTR16A1
2360,LINE,L1MDa
2364,LINE,L1MA4A
2368,LINE,L1ME3Cz
2370,LINE,L1ME2z
2377,LINE,L1PA15
2415,DNA,Eulor10
2440,LINE,AmnL2-1
2455,DNA,X30_DNA
2456,LINE,L1MC2
2469,DNA,MamTip2b
2479,DNA,Tigger17a
2518,SINE,MamSINE1
2532,LINE,L1ME3C
2574,LINE,L1PB4
2580,LINE,L1MEh
2581,LINE,L1MA5A
2611,LTR,LTR10B2
2619,LTR,LTR21C
2628,LTR,LTR62
2665,DNA,MER44C
2673,DNA,Charlie4a
2676,LTR,MER34C2
2678,LTR,MER34B-int
2679,LTR,MER31-int
2686,LTR,MER39
2701,LTR,Harlequin-int
2743,RC,Helitron3Na_Mam
2746,LTR,LTR5B
2747,LTR,LTR45C
2777,DNA,Tigger3d
2790,LTR,LTR8A
2797,LTR,HERVK13-int
2805,LTR,LTR38
2818,LTR,LTR3B_v
2837,LTR,MLT1E1
2839,LTR,LTR78B
2845,LINE,L1MB1
2846,DNA,Tigger4a
2889,LINE,L1MD2
2917,DNA,MER115
2923,LTR,MER77
2930,DNA,MADE2
2932,LTR,LTR3A
2951,LTR,MER77B
2956,LTR,LTR33C
2960,DNA,Kanga1a
2977,LTR,MLT2B2
2982,LTR,LTR40A1
2983,LTR,HERVL40-int
2994,LTR,MLT1L
3009,DNA,MER85
3010,LTR,MLT1J1
3020,LTR,MER92B
3021,LTR,LTR10E
3027,LTR,MER34A
3032,DNA,MER63C
3041,LTR,LTR16E2
3051,DNA,MER91C
3065,LTR,MLT1E1A
3069,LINE,L1PA13
3080,DNA,Kanga1b
3090,LINE,L4_B_Mam
3092,LTR,MLT1F1
