,class_name,individual_name
128660,DNA,AmnHarb1
130802,LTR,LTR19C
133242,LTR,HERVK14C-int
133379,LTR,LTR30
134729,DNA,MER134
135035,LTR,UCON51
135375,DNA,Eulor7
136377,LTR,HERVKC4-int
136568,LTR,LTR10G
136592,LTR,MER52-int
136593,LTR,HUERS-P2-int
143859,LTR,LTR22
145546,LINE,X21_LINE
145715,DNA,Eulor6E
146955,LTR,UCON103
148177,LTR,MER87B
149067,DNA,Charlie11
149177,LTR,MER88
149216,LTR,LTR108e_Mam
149955,LTR,MER92C
152203,LTR,LTR10B1
152583,LTR,MER50C
153307,LTR,LTR3
153308,LTR,HERVK3-int
155288,LTR,LTR108d_Mam
155400,LTR,LTR18C
155805,LTR,MER83A-int
156646,LTR,MER92A
158708,LTR,MER11B
167036,LTR,MER83B-int
168614,LTR,HERV-Fc2-int
168615,DNA,Charlie6
170709,LTR,LTR72
185611,DNA,EuthAT-N1a
187457,DNA,UCON23
196785,LTR,HERVH48-int
203190,LTR,LTR14C
208924,DNA,UCON59
209943,LTR,LTR47B
212998,DNA,Eulor5B
214251,LTR,LTR38C
217230,LTR,HERV1_LTRa
227599,LTR,X1_LR
227926,LTR,LTR108c_Mam
237475,DNA,UCON97
243175,LTR,LTR108b_Mam
243221,LTR,MER76-int
243392,LTR,LTR22C
244162,LTR,ERVL47-int
246212,LTR,HERVL74-int
259205,DNA,MER136
262174,LTR,HERV15-int
269463,DNA,EutTc1-N1
284593,LTR,MER57E3
284659,LTR,LTR70
298898,LINE,L1P4c
304201,LTR,HERVK11D-int
328399,LTR,HERVI-int
349340,LTR,LTR109A2
398940,DNA,UCON100
418258,LTR,HERV-Fc1_LTR3
434353,DNA,Charlie12
463643,DNA,Charlie7b_Mars
529439,LTR,HERV1_LTRc
653146,LTR,MER9B
669442,LTR,LTR46-int
706406,DNA,Chompy-6_Croc
801256,LTR,HERV30-int
909663,SINE,Alu-VAR_rnd-5_family-1084
972557,LTR,HERV-Fc1_LTR1
979458,LTR,HERV1_I
1080619,LTR,HERV1_LTRe
1353517,LTR,HERV1_LTRb
1660492,LTR,HERV-Fc1-int
2385090,LTR,HERV-Fc1_LTR2
