,family_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,family_label,neg_log10_adj_p,OR_Observed_to_Random
27,I-Jockey,LINE,18,132,1.6501187,0.061676682,0.090459134,258.8888889,265.6287879,1.255272505,2.120573931,1.580288226,0.612251547,0.38,0.76,0.76,0.836,I-Jockey (LINE),1.043547574,1.044188442
28,Dong-R4,LINE,69,503,1.661525175,0.000192815,0.000339354,286.173913,291.055666,1.838849091,2.701567985,2.187763193,0.407361824,0.906,0.188,0.188,0.26683871,Dong-R4 (LINE),3.469346836,0.75946299
29,tRNA,SINE,236,1612,1.792426089,1.01E-14,2.12E-14,264.5466102,294.2382134,2.372912003,3.207365037,1.575113009,0.169968551,0.1,0.2,0.2,0.275,tRNA (SINE),13.67264654,1.137966659
30,L1,LINE,83975,565459,1.82295587,0,0,197.5258708,188.1913278,4.924150013,5.752401121,2.663507754,0.013172041,1,0,0.003992016,0.0088,L1 (LINE),300,0.684419209
31,hAT-Ac,DNA,549,3692,1.825474961,9.16E-34,2.69E-33,249.571949,255.9228061,2.739572344,3.567261692,1.935910489,0.131432101,0.786,0.428,0.428,0.523111111,hAT-Ac (DNA),32.57092636,0.942954218
32,RTE-X,LINE,1610,10790,1.832870929,8.76E-97,3.50E-96,273.1695652,283.6706209,3.206825876,4.033021445,2.395016679,0.091407623,1,0,0.003992016,0.0088,RTE-X (LINE),95.45557947,0.765285246
33,5S-Deu-L2,SINE,309,2019,1.888470139,1.26E-21,3.25E-21,259.2977346,274.5948489,2.489958479,3.305136319,1.592247384,0.151661742,0.03,0.06,0.06,0.101538462,5S-Deu-L2 (SINE),20.48772276,1.18604066
34,Penelope,LINE,120,779,1.903020397,1.66E-09,3.18E-09,235.6416667,236.4865212,2.079181246,2.891537458,1.667353658,0.25531636,0.146,0.292,0.292,0.367085714,Penelope (LINE),8.49704311,1.141341783
35,ERVK,LTR,1238,7870,1.950853292,8.21E-89,3.01E-88,76.85056543,85.52642948,3.092720645,3.895974732,1.778229958,0.082465551,0.024,0.048,0.048,0.08448,ERVK (LTR),87.52160787,1.097075934
36,RTE-BovB,LINE,810,5031,2.005477693,5.25E-63,1.78E-62,294.0234568,305.7465713,2.908485019,3.701654317,2.178519149,0.120418807,0.932,0.136,0.136,0.206344828,RTE-BovB (LINE),61.75040664,0.920569229
37,MIR,SINE,89709,534149,2.109821362,0,0,275.477767,283.4471655,4.952836016,5.72766242,1.532613044,0.008763858,0,0,0.003992016,0.0088,MIR (SINE),300,1.376617125
38,hAT-Tag1,DNA,325,1849,2.228672226,2.77E-33,7.61E-33,257.4338462,260.0319091,2.511883361,3.266936911,2.121273971,0.202436716,0.27,0.54,0.54,0.625263158,hAT-Tag1 (DNA),32.11877836,1.050629129
39,CR1,LINE,8795,49193,2.275261741,0,0,290.3990904,297.1878113,3.944235844,4.691903309,2.164220666,0.040459891,0.004,0.008,0.008,0.016,CR1 (LINE),300,1.051307649
40,Alu,SINE,211643,1164096,2.323272897,0,0,124.0766527,128.4695309,5.325603909,6.065988797,1.535143222,0.006373766,0,0,0.003992016,0.0088,Alu (SINE),300,1.513391626
41,SVA,Retroposon,1170,6274,2.395652403,9.31E-133,4.10E-132,183.6538462,165.9807141,3.068185862,3.797544514,1.750695899,0.094031022,0,0,0.003992016,0.0088,SVA (Retroposon),131.3875819,1.368400077
42,TcMar-Tc1,DNA,132,701,2.424428103,6.73E-17,1.48E-16,201.6363636,224.9001427,2.120573931,2.845718018,1.565810057,0.246729374,0.004,0.008,0.008,0.016,TcMar-Tc1 (DNA),15.82944021,1.548353896
43,L2,LINE,74520,373176,2.608089131,0,0,286.349839,293.6312678,4.872272846,5.571913705,2.119766216,0.013827414,0,0,0.003992016,0.0088,L2 (LINE),300,1.230366401
