subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
L2c,L2c,LINE,17631,86373,2.6805254631084976,0.0,0.0,292.237592876184,298.6011485070566,4.246276945434062,4.936378004243094,2.120097171381357,0.02837941856403141,0.0,0.0,0.003992015968063872,0.010707259953161602
L1ME4a,L1ME4a,LINE,3977,21065,2.432291447363143,0.0,0.0,247.42016595423686,251.40488962734395,3.59955559098598,4.323561463462867,2.645689491877207,0.07118219221976047,1.0,0.0,0.003992015968063872,0.010707259953161602
MIRc,MIRc,SINE,14136,82173,2.171406170318901,0.0,0.0,279.9165959252971,288.2740316162243,4.150326536498707,4.9147291426346,1.5358940846949412,0.022759973856956446,0.0,0.0,0.003992015968063872,0.010707259953161602
MLT1E3,MLT1E3,LTR,164,1337,1.4611454145975324,1.2472958344804762e-05,3.6184242101806706e-05,231.0548780487805,226.59985041136875,2.214843848047698,3.1261314072619846,1.6202747408426532,0.1883602452374963,0.792,0.4159999999999999,0.4159999999999999,0.5360631341600901
Charlie4z,Charlie4z,DNA,1049,5284,2.5886338239894995,2.3527797014353024e-137,5.3784543974811014e-136,252.82173498570066,259.58478425435277,3.020775488193558,3.7229628089424898,1.5206386795767752,0.09120914364432264,0.0,0.0,0.003992015968063872,0.010707259953161602
L2a,L2a,LINE,20333,104092,2.537097460014825,0.0,0.0,267.85107952589385,276.1558333013104,4.308201460651076,5.01741735305172,2.1323652181089665,0.02555553148874926,0.0,0.0,0.003992015968063872,0.010707259953161602
FRAM,FRAM,SINE,2788,14759,2.433954638057392,0.0,0.0,182.49569583931134,187.82492038756013,3.4452927694259716,4.169056932744852,1.5129278098413856,0.05381760584818474,0.0,0.0,0.003992015968063872,0.010707259953161602
MER5B,MER5B,DNA,2893,22774,1.5207551985216996,5.549620612919992e-89,9.193067189228335e-88,249.04078810922917,252.98120663914992,3.461348433647983,4.357439316313899,1.5169569311475788,0.043293698806076225,0.458,0.916,0.916,0.9397319034852547
LTR37B,LTR37B,LTR,152,1395,1.277968158015389,0.005125339966827593,0.010709805451707384,225.40131578947367,229.36559139784947,2.1818435879447726,3.144574207609616,1.6368510711707753,0.18564006458529186,0.99,0.020000000000000018,0.020000000000000018,0.04508875739644974
AluSq,AluSq,SINE,2871,14462,2.5885861216090036,0.0,0.0,101.816091954023,104.83225003457336,3.458033192496506,4.160228357197859,1.5370729693777085,0.052609751146839925,0.0,0.0,0.003992015968063872,0.010707259953161602
MLT1O,MLT1O,LTR,404,3936,1.1953863614929476,0.0008595546221896585,0.002051087543137327,271.46039603960395,276.6219512195122,2.606381365110605,3.595055089759304,1.585373376699944,0.11045211919147357,1.0,0.0,0.003992015968063872,0.010707259953161602
MSTA,MSTA,LTR,861,14819,0.6446540587314145,1.541865772931638e-40,1.727796645549865e-39,140.52497096399534,146.9191578379108,2.935003151453655,4.1708188980336685,1.615591674348148,0.05802487844311009,1.0,0.0,0.003992015968063872,0.010707259953161602
Alu,Alu,SINE,1111,7106,1.9367485957074013,2.0007441815149865e-78,3.0491341326288395e-77,109.60756075607561,128.9068392907402,3.0457140589408676,3.851625203153309,1.5240838136021435,0.074406916870948,0.0,0.0,0.003992015968063872,0.010707259953161602
MER103C,MER103C,DNA,667,8205,0.9247346588253471,0.05289283173735332,0.08761812561709398,268.3778110944528,274.50871419865933,2.824125833916549,3.914078585389112,1.5387730527570789,0.07289552019189342,1.0,0.0,0.003992015968063872,0.010707259953161602
LTR39,LTR39,LTR,81,743,1.2787174110742194,0.043577877616835944,0.07390135625525739,169.6172839506173,170.2920592193809,1.9084850188786497,2.8709888137605755,1.6681958870877174,0.26255145556774784,0.92,0.15999999999999992,0.15999999999999992,0.2597727272727273
AluSz6,AluSz6,SINE,5060,30861,2.0495835787343752,0.0,0.0,129.90197628458498,133.72479828910275,3.7041505168397992,4.489409994554269,1.537958706079277,0.037156119523013884,0.0,0.0,0.003992015968063872,0.010707259953161602
L1PA4,L1PA4,LINE,804,10776,0.8425992346330313,1.915224599689688e-06,6.097776371713965e-06,37.24751243781095,39.3529138827023,2.905256048748451,4.03245758271493,2.5454810825088745,0.09409534183440114,1.0,0.0,0.003992015968063872,0.010707259953161602
