GO Term Name,Functional Group,,,
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Other metabolism,,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Match
terpenoid metabolic process,Lipids metabolism,,terpenoid metabolic process,Match
caffeine oxidase activity,Xenobiotic metabolism,,caffeine oxidase activity,Match
omega-hydroxylase P450 pathway,Xenobiotic metabolism,,omega-hydroxylase P450 pathway,Match
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",Other metabolism,,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",Match
xenobiotic catabolic process,Xenobiotic metabolism,,xenobiotic catabolic process,Match
monoterpenoid metabolic process,Lipids metabolism,,monoterpenoid metabolic process,Match
monooxygenase activity,Xenobiotic metabolism,,monooxygenase activity,Match
tricarboxylic acid cycle,Central metabolism,,tricarboxylic acid cycle,Match
natural killer cell mediated immunity,Other immune processes,,natural killer cell mediated immunity,Match
activating MHC class Ib receptor activity,Other immune processes,,activating MHC class Ib receptor activity,Match
stimulatory C-type lectin receptor signaling pathway,Signaling pathways,,stimulatory C-type lectin receptor signaling pathway,Match
mismatch repair complex,DNA repair,,mismatch repair complex,Match
glutamine metabolic process,Aminoacids metabolism,,glutamine metabolic process,Match
mitochondrial fission,Mitochondrion,,mitochondrial fission,Match
protein destabilization,Protein folding,,protein destabilization,Match
TRAIL binding,Cell death,,TRAIL binding,Match
cellular response to interferon-beta,Other immune processes,,cellular response to interferon-beta,Match
mRNA cleavage and polyadenylation specificity factor complex,RNA splicing and processing,,mRNA cleavage and polyadenylation specificity factor complex,Match
RNA polymerase II CTD heptapeptide repeat phosphatase activity,Transcription and its regulation,,RNA polymerase II CTD heptapeptide repeat phosphatase activity,Match
termination of RNA polymerase II transcription,Transcription and its regulation,,termination of RNA polymerase II transcription,Match
mRNA 3'-end processing,RNA splicing and processing,,mRNA 3'-end processing,Match
protein serine/threonine phosphatase activity,Signaling pathways,,protein serine/threonine phosphatase activity,Match
inhibitory MHC class I receptor activity,Other immune processes,,inhibitory MHC class I receptor activity,Match
interleukin-10-mediated signaling pathway,Other immune processes,,interleukin-10-mediated signaling pathway,Match
MHC class Ib protein complex binding,Other immune processes,,MHC class Ib protein complex binding,Match
Fc receptor mediated inhibitory signaling pathway,Other immune processes,,Fc receptor mediated inhibitory signaling pathway,Match
MHC class Ib protein binding,Other immune processes,,MHC class Ib protein binding,Match
negative regulation of calcium ion transport,Metals metabolism,,negative regulation of calcium ion transport,Match
cellular response to lipopolysaccharide,Other immune processes,,cellular response to lipopolysaccharide,Match
MHC class I protein binding,Other immune processes,,MHC class I protein binding,Match
adaptive immune response,Other immune processes,,adaptive immune response,Match
protein phosphatase 1 binding,Signaling pathways,,protein phosphatase 1 binding,Match
sensory perception of chemical stimulus,Sensory system,,sensory perception of chemical stimulus,Match
keratinization,Embryogenesis,,keratinization,Match
monocarboxylic acid metabolic process,Central metabolism,,monocarboxylic acid metabolic process,Match
cellular response to jasmonic acid stimulus,Sensory system,,cellular response to jasmonic acid stimulus,Match
3-alpha-hydroxysteroid 3-dehydrogenase [NAD(P)+] activity,Lipids metabolism,,3-alpha-hydroxysteroid 3-dehydrogenase [NAD(P)+] activity,Match
chronic inflammatory response,Other immune processes,,chronic inflammatory response,Match
nodal binding,Embryogenesis,,nodal binding,Match
cellular response to lipid,Lipids metabolism,,cellular response to lipid,Match
system process,Too general,,system process,Match
sequence-specific double-stranded DNA binding,Too general,,sequence-specific double-stranded DNA binding,Match
neuron projection,Nervous system,,neuron projection,Match
calcium ion transport,Metals metabolism,,calcium ion transport,Match
cell-cell junction,Cell adhesion,,cell-cell junction,Match
DNA-(apurinic or apyrimidinic site) endonuclease activity,DNA repair,,DNA-(apurinic or apyrimidinic site) endonuclease activity,Match
Z disc,Cytoskeleton,,Z disc,Match
monoatomic ion transport,Signaling pathways,,monoatomic ion transport,Match
synapse,Nervous system,,synapse,Match
regulation of heart rate by cardiac conduction,Other,,regulation of heart rate by cardiac conduction,Match
postsynaptic density,Nervous system,,postsynaptic density,Match
axon,Nervous system,,axon,Match
nuclear receptor activity,Transcription and its regulation,,nuclear receptor activity,Match
postsynaptic membrane,Nervous system,,postsynaptic membrane,Match
bundle of His cell-Purkinje myocyte adhesion involved in cell communication,Other,,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,Match
intermediate filament organization,Cytoskeleton,,intermediate filament organization,Match
T-tubule,Exosomes and vesicles,,T-tubule,Match
glutamine N-acyltransferase activity,Aminoacids metabolism,,glutamine N-acyltransferase activity,Match
formation of cytoplasmic translation initiation complex,Ribosome biogenesis and translation itself,,formation of cytoplasmic translation initiation complex,Match
eukaryotic translation initiation factor 3 complex,Ribosome biogenesis and translation itself,,eukaryotic translation initiation factor 3 complex,Match
eukaryotic 43S preinitiation complex,Ribosome biogenesis and translation itself,,eukaryotic 43S preinitiation complex,Match
eukaryotic 48S preinitiation complex,Ribosome biogenesis and translation itself,,eukaryotic 48S preinitiation complex,Match
translation initiation factor binding,Ribosome biogenesis and translation itself,,translation initiation factor binding,Match
cytoplasmic translational initiation,Ribosome biogenesis and translation itself,,cytoplasmic translational initiation,Match
translation initiation factor activity,Ribosome biogenesis and translation itself,,translation initiation factor activity,Match
translational initiation,Ribosome biogenesis and translation itself,,translational initiation,Match
heterophilic cell-cell adhesion,Cell adhesion,,heterophilic cell-cell adhesion,Match
homophilic cell-cell adhesion,Cell adhesion,,homophilic cell-cell adhesion,Match
acyl-CoA 6-desaturase activity,Lipids metabolism,,acyl-CoA 6-desaturase activity,Match
"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",Other metabolism,,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",Match
alpha-linolenic acid metabolic process,Lipids metabolism,,alpha-linolenic acid metabolic process,Match
fatty acid metabolic process,Lipids metabolism,,fatty acid metabolic process,Match
zymosterol biosynthetic process,Lipids metabolism,,zymosterol biosynthetic process,Match
classical-complement-pathway C3/C5 convertase complex,Other immune processes,,classical-complement-pathway C3/C5 convertase complex,Match
positive regulation of apoptotic cell clearance,Cell death,,positive regulation of apoptotic cell clearance,Match
complement binding,Other immune processes,,complement binding,Match
hair cycle,Other,,hair cycle,Match
arylsulfatase activity,Sulfur metabolism,,arylsulfatase activity,Match
RNA polymerase II cis-regulatory region sequence-specific DNA binding,Transcription and its regulation,,RNA polymerase II cis-regulatory region sequence-specific DNA binding,Match
"DNA-binding transcription factor activity, RNA polymerase II-specific",Transcription and its regulation,,"DNA-binding transcription factor activity, RNA polymerase II-specific",Match
regulation of transcription by RNA polymerase II,Transcription and its regulation,,regulation of transcription by RNA polymerase II,Match
RNA polymerase II transcription regulatory region sequence-specific DNA binding,Transcription and its regulation,,RNA polymerase II transcription regulatory region sequence-specific DNA binding,Match
negative regulation of peptidyl-lysine crotonylation,Chromatin structure,,negative regulation of peptidyl-lysine crotonylation,Match
alpha-amylase activity,Carbohydrates metabolism,,alpha-amylase activity,Match
negative regulation of apoptotic process,Cell death,,negative regulation of apoptotic process,Match
positive regulation of cell population proliferation,Cell cycle/cell division,,positive regulation of cell population proliferation,Match
chloride ion binding,Other,,chloride ion binding,Match
cation binding,Metals metabolism,,cation binding,Match
oligosaccharide metabolic process,Carbohydrates metabolism,,oligosaccharide metabolic process,Match
"hydrolase activity, acting on glycosyl bonds",Carbohydrates metabolism,,"hydrolase activity, acting on glycosyl bonds",Match
positive regulation of immune complex clearance by monocytes and macrophages,Other immune processes,,positive regulation of immune complex clearance by monocytes and macrophages,Match
leukotriene B4 receptor activity,Signaling pathways,,leukotriene B4 receptor activity,Match
leukotriene receptor activity,Signaling pathways,,leukotriene receptor activity,Match
leukotriene signaling pathway,Signaling pathways,,leukotriene signaling pathway,Match
cellular detoxification of aldehyde,Xenobiotic metabolism,,cellular detoxification of aldehyde,Match
all-trans-retinol dehydrogenase (NADP+) activity,Sensory system,,all-trans-retinol dehydrogenase (NADP+) activity,Match
flavone metabolic process,Other metabolism,,flavone metabolic process,Match
retinoic acid binding,Transcription and its regulation,,retinoic acid binding,Match
negative regulation of fatty acid metabolic process,Lipids metabolism,,negative regulation of fatty acid metabolic process,Match
translation activator activity,Ribosome biogenesis and translation itself,,translation activator activity,Match
3'-UTR-mediated mRNA stabilization,Transcription and its regulation,,3'-UTR-mediated mRNA stabilization,Match
positive regulation of translational initiation,Ribosome biogenesis and translation itself,,positive regulation of translational initiation,Match
MutLalpha complex binding,DNA repair,,MutLalpha complex binding,Match
defense response to virus,Other immune processes,,defense response to virus,Match
cytokine activity,Other immune processes,,cytokine activity,Match
extracellular space,Too general,,extracellular space,Match
"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",Carbohydrates metabolism,,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",Match
bile acid metabolic process,Lipids metabolism,,bile acid metabolic process,Match
peroxisomal matrix,Exosomes and vesicles,,peroxisomal matrix,Match
very long-chain fatty acid metabolic process,Lipids metabolism,,very long-chain fatty acid metabolic process,Match
bile acid biosynthetic process,Lipids metabolism,,bile acid biosynthetic process,Match
oxidoreductase activity,Other metabolism,,oxidoreductase activity,Match
"arachidonate 11,12-epoxygenase activity",Lipids metabolism,,"arachidonate 11,12-epoxygenase activity",Match
xenobiotic metabolic process,Xenobiotic metabolism,,xenobiotic metabolic process,Match
"arachidonate 14,15-epoxygenase activity",Lipids metabolism,,"arachidonate 14,15-epoxygenase activity",Match
"pentose-phosphate shunt, non-oxidative branch",Carbohydrates metabolism,,"pentose-phosphate shunt, non-oxidative branch",Match
negative regulation of proteolysis,Protein ubiquitination and degradation,,negative regulation of proteolysis,Match
cysteine-type endopeptidase inhibitor activity,Protein ubiquitination and degradation,,cysteine-type endopeptidase inhibitor activity,Match
structural constituent of chromatin,Chromatin structure,,structural constituent of chromatin,Match
nucleosome,Chromatin structure,,nucleosome,Match
nucleosome assembly,Chromatin structure,,nucleosome assembly,Match
protein heterodimerization activity,Other,,protein heterodimerization activity,Match
peroxisome,Exosomes and vesicles,,peroxisome,Match
DNA cytosine deamination,DNA repair,,DNA cytosine deamination,Match
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,Other immune processes,,negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,Match
cytidine to uridine editing,RNA splicing and processing,,cytidine to uridine editing,Match
cytidine deaminase activity,Other metabolism,,cytidine deaminase activity,Match
clearance of foreign intracellular DNA,Other immune processes,,clearance of foreign intracellular DNA,Match
sterol biosynthetic process,Lipids metabolism,,sterol biosynthetic process,Match
steroid biosynthetic process,Lipids metabolism,,steroid biosynthetic process,Match
lipoprotein metabolic process,Lipids metabolism,,lipoprotein metabolic process,Match
"DNA-binding transcription repressor activity, RNA polymerase II-specific",Transcription and its regulation,,"DNA-binding transcription repressor activity, RNA polymerase II-specific",Match
transcription cis-regulatory region binding,Transcription and its regulation,,transcription cis-regulatory region binding,Match
phosphoprotein phosphatase activity,Signaling pathways,,phosphoprotein phosphatase activity,Match
"dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity",Carbohydrates metabolism,,"dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity",Match
RNA polymerase II CTD heptapeptide repeat S2 kinase activity,Transcription and its regulation,,RNA polymerase II CTD heptapeptide repeat S2 kinase activity,Match
RNA polymerase II CTD heptapeptide repeat S5 kinase activity,Transcription and its regulation,,RNA polymerase II CTD heptapeptide repeat S5 kinase activity,Match
cyclin L-CDK11 complex,Cell cycle/cell division,,cyclin L-CDK11 complex,Match
regulation of centrosome cycle,Cell cycle/cell division,,regulation of centrosome cycle,Match
RNA polymerase II promoter clearance,Transcription and its regulation,,RNA polymerase II promoter clearance,Match
intracellular transport of virus,Other immune processes,,intracellular transport of virus,Match
peptide antigen transport,Other immune processes,,peptide antigen transport,Match
virion attachment to host cell,Other immune processes,,virion attachment to host cell,Match
ketosteroid monooxygenase activity,Lipids metabolism,,ketosteroid monooxygenase activity,Match
androsterone dehydrogenase [NAD(P)+] activity,Lipids metabolism,,androsterone dehydrogenase [NAD(P)+] activity,Match
bile acid binding,Lipids metabolism,,bile acid binding,Match
