subfamily_name,subfamily_name,subfamily_name.1,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,Status,OR_Observed_to_Random,Enrichment_p_value_adjusted_log,avg_weight,total_weight,node_degree,gene_number
Charlie4z,Charlie4z,Charlie4z,DNA,1049,5284,2.5886338239894995,2.3527797014353024e-137,5.378454397481101e-136,252.82173498570063,259.5847842543528,3.020775488193558,3.7229628089424898,1.5206386795767752,0.0912091436443226,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.7023332753247926,-135.2693425092934,0.006569736719745797,4.776198595255194,727.0,844.0
L2a,L2a,L2a,LINE,20333,104092,2.537097460014825,0.0,0.0,267.85107952589385,276.1558333013104,4.308201460651076,5.01741735305172,2.1323652181089665,0.0255555314887492,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.1898043723789422,-inf,0.0068451496917648815,5.667783944781322,828.0,1436.0
FRAM,FRAM,FRAM,SINE,2788,14759,2.433954638057392,0.0,0.0,182.4956958393113,187.82492038756013,3.445292769425972,4.169056932744852,1.5129278098413856,0.0538176058481847,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.6087711668890312,-inf,0.007193786511479738,6.258594264987372,870.0,1436.0
MER5B,MER5B,MER5B,DNA,2893,22774,1.5207551985216996,5.549620612919992e-89,9.193067189228336e-88,249.0407881092292,252.98120663914992,3.461348433647983,4.357439316313899,1.5169569311475788,0.0432936988060762,0.458,0.916,0.916,0.9397319034852548,Non-Significant,1.0025038729156586,-87.03653956575032,0.007272156547019857,6.304959726266215,867.0,1436.0
LTR37B,LTR37B,LTR37B,LTR,152,1395,1.277968158015389,0.0051253399668275,0.0107098054517073,225.40131578947367,229.36559139784947,2.1818435879447726,3.144574207609616,1.636851071170775,0.1856400645852918,0.99,0.02,0.02,0.0450887573964497,Significant,0.7807479742804632,-1.9702184182453983,0.006459847728561883,2.5645595482390675,397.0,121.0
AluSq,AluSq,AluSq,SINE,2871,14462,2.588586121609004,0.0,0.0,101.816091954023,104.83225003457336,3.458033192496506,4.160228357197859,1.5370729693777083,0.0526097511468399,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.6841009979226986,-inf,0.0069499078082080066,5.9491210838260535,856.0,1436.0
MLT1O,MLT1O,MLT1O,LTR,404,3936,1.1953863614929476,0.0008595546221896,0.0020510875431373,271.46039603960395,276.6219512195122,2.606381365110605,3.595055089759304,1.585373376699944,0.1104521191914735,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.7540093577080377,-2.6880158029714267,0.0066265332205022506,3.9030280668758257,589.0,337.0
MSTA,MSTA,MSTA,LTR,861,14819,0.6446540587314145,1.5418657729316379e-40,1.7277966455498648e-39,140.52497096399534,146.9191578379108,2.935003151453655,4.1708188980336685,1.615591674348148,0.05802487844311,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.39902041398642185,-38.762507373496334,0.006548306156102219,5.323772904911104,813.0,718.0
Alu,Alu,Alu,SINE,1111,7106,1.936748595707401,2.0007441815149863e-78,3.0491341326288395e-77,109.6075607560756,128.9068392907402,3.045714058940868,3.851625203153309,1.5240838136021435,0.074406916870948,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.2707625252773547,-76.5158234704266,0.006708462166939815,5.1319735577089585,765.0,881.0
MER103C,MER103C,MER103C,DNA,667,8205,0.9247346588253472,0.0528928317373533,0.0876181256170939,268.3778110944528,274.50871419865933,2.824125833916549,3.914078585389112,1.5387730527570789,0.0728955201918934,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.6009558441177953,-1.0574060417634152,0.006774047758116434,4.5657081889704765,674.0,574.0
