,family_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,family_label,neg_log10_adj_p,OR_Observed_to_Random
27,I-Jockey,LINE,18,132,1.6501187003579119,0.061676682315485815,0.09045913406271254,258.8888888888889,265.6287878787879,1.255272505103306,2.12057393120585,1.5802882263080282,0.6122515472605,0.38,0.76,0.76,0.8360000000000001,I-Jockey (LINE),1.043547573936835,1.0441884416319585
28,Dong-R4,LINE,69,503,1.6615251752079607,0.00019281485770833627,0.0003393541495666718,286.17391304347825,291.05566600397617,1.8388490907372552,2.7015679850559273,2.187763193307156,0.4073618241531363,0.906,0.18799999999999994,0.18799999999999994,0.26683870967741924,Dong-R4 (LINE),3.4693468359586213,0.7594629895460935
29,tRNA,SINE,236,1612,1.7924260890057244,1.0141917617797791e-14,2.1249732151576324e-14,264.54661016949154,294.2382133995037,2.3729120029701067,3.2073650374690716,1.5751130092118593,0.16996855119359952,0.1,0.2,0.2,0.275,tRNA (SINE),13.672646539770165,1.137966659232027
30,L1,LINE,83975,565459,1.822955869674684,0.0,0.0,197.52587079487944,188.1913277532058,4.924150012513702,5.7524011208100525,2.6635077542155825,0.013172040712189767,1.0,0.0,0.003992015968063872,0.008800000000000007,L1 (LINE),300.0,0.6844192087631276
31,hAT-Ac,DNA,549,3692,1.8254749614457921,9.156135777084665e-34,2.6857998279448352e-33,249.5719489981785,255.92280606717227,2.739572344450092,3.5672616923538745,1.935910488548371,0.13143210060490154,0.786,0.42799999999999994,0.42799999999999994,0.523111111111111,hAT-Ac (DNA),32.57092635833092,0.9429542183092421
32,RTE-X,LINE,1610,10790,1.8328709288690188,8.757104714646248e-97,3.502841885858499e-96,273.1695652173913,283.67062094531974,3.2068258760318495,4.033021444682911,2.39501667877445,0.09140762273833625,1.0,0.0,0.003992015968063872,0.008800000000000007,RTE-X (LINE),95.45557946577935,0.7652852462835099
33,5S-Deu-L2,SINE,309,2019,1.8884701385671054,1.256821161060714e-21,3.25294888745126e-21,259.2977346278317,274.5948489351164,2.4899584794248346,3.305136318943639,1.5922473837179987,0.15166174237265334,0.03,0.06,0.06,0.10153846153846154,5S-Deu-L2 (SINE),20.487722760595265,1.1860406604389626
34,Penelope,LINE,120,779,1.9030203974473787,1.6643016711359931e-09,3.1838814578253784e-09,235.64166666666668,236.48652118100128,2.0791812460476247,2.8915374576725643,1.6673536580263417,0.25531636010327047,0.146,0.292,0.292,0.3670857142857143,Penelope (LINE),8.497043110271898,1.1413417833022883
35,ERVK,LTR,1238,7870,1.9508532916392636,8.205795754670562e-89,3.0087917767125393e-88,76.85056542810986,85.5264294790343,3.0927206446840994,3.8959747323590643,1.7782299583709678,0.08246555126408811,0.024,0.048,0.048,0.08448,ERVK (LTR),87.52160786654832,1.0970759335459828
36,RTE-BovB,LINE,810,5031,2.0054776925452327,5.249090197208402e-63,1.776615143670536e-62,294.0234567901235,305.74657125819914,2.9084850188786495,3.7016543173257483,2.17851914916454,0.1204188068003054,0.932,0.1359999999999999,0.1359999999999999,0.20634482758620676,RTE-BovB (LINE),61.75040664033326,0.9205692285580007
37,MIR,SINE,89709,534149,2.109821362409968,0.0,0.0,275.477767002196,283.4471654912768,4.952836015555397,5.727662419672014,1.5326130436576135,0.008763858063238589,0.0,0.0,0.003992015968063872,0.008800000000000007,MIR (SINE),300.0,1.3766171253344122
38,hAT-Tag1,DNA,325,1849,2.2286722256333813,2.7662341722486757e-33,7.607143973683858e-33,257.43384615384616,260.0319091400757,2.5118833609788744,3.2669369111591733,2.1212739713987987,0.20243671646735034,0.27,0.54,0.54,0.6252631578947369,hAT-Tag1 (DNA),32.118778364159766,1.050629129326356
39,CR1,LINE,8795,49193,2.2752617406451816,0.0,0.0,290.3990903922683,297.18781127396176,3.94423584379348,4.691903308506012,2.164220665864913,0.040459891163037054,0.004,0.008,0.008,0.016,CR1 (LINE),300.0,1.0513076492298867
40,Alu,SINE,211643,1164096,2.3232728965997227,0.0,0.0,124.07665266510114,128.46953086343393,5.3256039089468254,6.065988796938516,1.5351432215700225,0.006373766160345079,0.0,0.0,0.003992015968063872,0.008800000000000007,Alu (SINE),300.0,1.5133916262377551
